Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
BLCA	102466751	7.0669e-19	4.486	1.655	1.43859840339169	8.56311977222222e-17	MIR6859-1
BLCA	102465909	0.00050615	1.048	1	0.0676387168753633	0.00196434833629893	MIR6859-2
BLCA	400728	0.09824	1	1	0	0.160055399985061	FAM87B
BLCA	79854	6.4437e-18	1.332	1	0.413594082409175	6.59828829577465e-16	LINC00115
BLCA	284593	0.086978	1	1	0	0.145604202778417	FAM41C
BLCA	100130417	0.21406	1.628	5.657	-1.79693647137753	0.292297167720528	LINC02593
BLCA	148398	0.029825	1.203	5.656	-2.23314547763332	0.0609494120678347	SAMD11
BLCA	26155	7.8347e-13	109.404	66.732	0.713214838438753	2.58130878700906e-11	NOC2L
BLCA	339451	1e-20	11.553	5.306	1.12257094828945	1.74488e-18	KLHL17
BLCA	84069	0.25475	11.813	5.875	1.00771463770782	0.334760347632245	PLEKHN1
BLCA	84808	0.031908	3.891	1.898	1.03566098795175	0.0644632630603927	PERM1
BLCA	57801	4.168e-06	43.812	16.987	1.36689498766905	2.82236100589879e-05	HES4
BLCA	9636	8.4764e-20	415.166	82.77	2.3265084365661	1.18512025897436e-17	ISG15
BLCA	375790	7.3616e-11	124.576	42.012	1.56815278219762	1.5119007306968e-09	AGRN
BLCA	401934	0.7971	8.607	10.686	-0.312139548332955	0.829621497423172	RNF223
BLCA	54991	2.4575e-10	25.326	9.785	1.37197547916468	4.45187147009967e-09	C1orf159
BLCA	254099	0.21268	1	1	0	0.290954690792775	LINC01342
BLCA	406984	0.84731	1.092	1	0.126972856257766	0.872841751759316	MIR200B
BLCA	406983	0.94157	2.017	1	1.01221108395087	0.953511018153118	MIR200A
BLCA	554210	0.41975	7.244	3.827	0.920572645281672	0.480661902136819	MIR429
BLCA	254173	0.75894	1	1	0	0.796403191724801	TTLL10
BLCA	8784	0.357	8.457	3.782	1.16099661534182	0.41786664162284	TNFRSF18
BLCA	7293	0.74162	6.638	3.022	1.13524496891347	0.780858016895969	TNFRSF4
BLCA	51150	1.2551e-05	204.448	159.811	0.355367235588851	7.55797517945886e-05	SDF4
BLCA	126792	3.3027e-07	27.986	12.549	1.15713289543704	2.8596740651052e-06	B3GALT6
BLCA	388581	1.2711e-07	2.414	1	1.27142567609293	1.21649680122861e-06	C1QTNF12
BLCA	118424	8.5832e-07	63.481	43.804	0.535262237976601	6.751106209881e-06	UBE2J2
BLCA	6339	0.064259	1.849	2.254	-0.285742290768025	0.114599595175797	SCNN1D
BLCA	116983	3.98e-05	38.181	35.476	0.10601153726753	0.000210698495145631	ACAP3
BLCA	102465434	0.095943	1	1	0	0.157103061036036	MIR6726
BLCA	126789	1.1938e-07	29.126	15.223	0.936054884417379	1.15059530711445e-06	PUSL1
BLCA	54973	9.2142e-07	124.268	91.654	0.439185088831042	7.2058413840086e-06	INTS11
BLCA	80772	6.1355e-09	56.659	33.852	0.743064067414219	8.00367168062201e-08	CPTP
BLCA	83756	0.034469	1	1	0	0.0687960614019034	TAS1R3
BLCA	1855	2.0745e-10	67.33	49.605	0.44076391857862	3.86065866040956e-09	DVL1
BLCA	54587	0.28517	40.002	101.694	-1.34609052387151	0.365550565383485	MXRA8
BLCA	54998	9.8052e-05	314.109	164.696	0.931459763856586	0.00046858285977213	AURKAIP1
BLCA	81669	7.7923e-08	102.463	42.109	1.2829025179321	7.85387501386322e-07	CCNL2
BLCA	148413	2.2499e-09	29.716	17.439	0.768922616797896	3.22633589086127e-08	MRPL20-AS1
BLCA	55052	0.05676	189.18	157.413	0.265204884685213	0.103623701347619	MRPL20
BLCA	441869	3.472e-16	79.092	37.659	1.07053708529112	2.38888933753943e-14	ANKRD65
BLCA	643965	2.0184e-07	1	1	0	1.8427510422771e-06	TMEM88B
BLCA	64856	0.39789	66.329	77.573	-0.225914820982873	0.459294987562847	VWA1
BLCA	219293	6.2946e-07	3.141	2.046	0.618417797906636	5.09241545252226e-06	ATAD3C
BLCA	83858	2.7734e-05	21.92	9.438	1.21569472171105	0.00015275410959596	ATAD3B
