Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
BRCA	102466751	0.05712	3.258	2.918	0.159006720607627	0.0756029085872576	MIR6859-1
BRCA	102465909	0.03674	1	1	0	0.0503334269159548	MIR6859-2
BRCA	400728	0.66402	1	1	0	0.686994708588957	FAM87B
BRCA	79854	1.7678e-19	1	1	0	8.31681907692308e-19	LINC00115
BRCA	284593	0.23725	1	1	0	0.277081614726551	FAM41C
BRCA	100130417	1e-20	3.391	1.92	0.820604473416912	5.02960526315789e-20	LINC02593
BRCA	148398	1e-20	2.146	1	1.10165007609443	5.02960526315789e-20	SAMD11
BRCA	26155	1e-20	82.848	57.977	0.514986186780576	5.02960526315789e-20	NOC2L
BRCA	339451	1e-20	6.126	3.747	0.709209389269844	5.02960526315789e-20	KLHL17
BRCA	84069	1e-20	3.477	2.203	0.658373572026745	5.02960526315789e-20	PLEKHN1
BRCA	84808	0.87414	1.168	1	0.22404027421793	0.884085236142347	PERM1
BRCA	57801	1e-20	14.362	9.234	0.637229030126784	5.02960526315789e-20	HES4
BRCA	9636	1e-20	205.433	39.126	2.39246841880479	5.02960526315789e-20	ISG15
BRCA	375790	1.4867e-11	75.513	57.491	0.39338890887443	4.48858207187047e-11	AGRN
BRCA	401934	1e-20	3.467	1.558	1.15399260314116	5.02960526315789e-20	RNF223
BRCA	54991	1e-20	15.271	9.47	0.68935820728154	5.02960526315789e-20	C1orf159
BRCA	254099	1.6553e-17	1	1	0	6.99029745903149e-17	LINC01342
BRCA	406984	0.025333	1	1	0	0.0355947040985113	MIR200B
BRCA	406983	0.61827	1.228	1.553	-0.338747269017122	0.642618619142572	MIR200A
BRCA	554210	0.00518	4.714	3.929	0.262789590791481	0.00795522298111691	MIR429
BRCA	254173	3.792e-06	1	1	0	8.07966555183947e-06	TTLL10
BRCA	8784	1e-20	14.34	2.962	2.27540147830042	5.02960526315789e-20	TNFRSF18
BRCA	7293	1e-20	6.764	3.875	0.803680349361021	5.02960526315789e-20	TNFRSF4
BRCA	51150	1.9772e-11	173.277	148.046	0.227034659035962	5.93004864652805e-11	SDF4
BRCA	126792	1e-20	27.892	21.081	0.403908082341801	5.02960526315789e-20	B3GALT6
BRCA	388581	2.9116e-08	1.04	1.108	-0.091374353020734	7.25133521555e-08	C1QTNF12
BRCA	118424	1e-20	50.25	41.355	0.281061828222307	5.02960526315789e-20	UBE2J2
BRCA	6339	1.9361e-11	2.677	2.305	0.215850388324077	5.80981990056261e-11	SCNN1D
BRCA	116983	1e-20	23.007	17.93	0.359697387259629	5.02960526315789e-20	ACAP3
BRCA	102465434	0.92668	1	1	0	0.932821532654494	MIR6726
BRCA	126789	1e-20	16.168	8.712	0.892065367662829	5.02960526315789e-20	PUSL1
BRCA	54973	1.0324e-08	93.304	85.564	0.124935003528736	2.65063181461995e-08	INTS11
BRCA	80772	1e-20	36.082	27.253	0.404864258426599	5.02960526315789e-20	CPTP
BRCA	83756	1e-20	1	1	0	5.02960526315789e-20	TAS1R3
BRCA	1855	3.5496e-11	39.603	33.989	0.2205418046796	1.0505881533101e-10	DVL1
BRCA	54587	0.25095	128.377	160.693	-0.32392033204424	0.291195365779622	MXRA8
BRCA	54998	1e-20	179.93	122.452	0.555219411830428	5.02960526315789e-20	AURKAIP1
BRCA	81669	0.037008	56.568	69.787	-0.30297215020392	0.0506824195378277	CCNL2
BRCA	148413	5.4311e-19	27.609	21.288	0.375098218879585	2.48033210872162e-18	MRPL20-AS1
BRCA	55052	1.3154e-14	164.337	144.872	0.181878549167588	4.70650530421217e-14	MRPL20
BRCA	441869	1e-20	8.128	25.38	-1.6427197619563	5.02960526315789e-20	ANKRD65
BRCA	643965	0.19344	1	1	0	0.230925714360069	TMEM88B
BRCA	64856	1e-20	58.9	34.512	0.771169552444731	5.02960526315789e-20	VWA1
BRCA	219293	0.0023588	3.48	4.966	-0.51299695544075	0.00378209437919463	ATAD3C
BRCA	83858	2.0991e-15	8.042	6.668	0.270300231813944	7.86005853061225e-15	ATAD3B
BRCA	55210	1e-20	20.665	12.875	0.682616931416597	5.02960526315789e-20	ATAD3A
BRCA	339453	0.02353	1.009	1.524	-0.594936728386965	0.0331996647185481	TMEM240
BRCA	29101	0.058116	244.959	246.084	-0.00661056062587073	0.0768458034015566	SSU72
BRCA	643988	1e-20	19.511	7.725	1.33668088436208	5.02960526315789e-20	FNDC10
BRCA	142678	0.88769	15.062	17.294	-0.199358244157394	0.896563772679232	MIB2
BRCA	8510	0.0016566	2.278	4.374	-0.941185473339981	0.00270170809926758	MMP23B
BRCA	984	0.0415	25.397	25.823	-0.0239985263212163	0.056393085673658	CDK11B
BRCA	728661	0.18199	24.138	27.16	-0.170177335785308	0.218576699308756	SLC35E2B
BRCA	728642	1.0206e-07	1	1	0	2.4525839270746e-07	CDK11A
BRCA	9906	0.0019725	11.014	16.904	-0.618026158784062	0.00318855987454187	SLC35E2A
BRCA	65220	1.5966e-05	47.926	53.849	-0.168111018764191	3.21746955452069e-05	NADK
BRCA	2782	0.0011124	375.785	367.957	0.0303703000015265	0.00185157805355976	GNB1
BRCA	163688	0.92082	1.276	1.096	0.219380530804343	0.927411149657474	CALML6
BRCA	339456	0.7951	3.509	2.867	0.291518043161643	0.811120829997331	TMEM52
BRCA	85452	2.1466e-07	1	1	0	5.04635824108241e-07	CFAP74
BRCA	2563	1e-20	4.236	1	2.08270258933025	5.02960526315789e-20	GABRD
BRCA	5590	5.6121e-17	15.802	11.229	0.49287771239891	2.30050962466488e-16	PRKCZ
BRCA	100506504	1.9854e-05	3.321	5.186	-0.643004483350586	3.96302428198433e-05	PRKCZ-AS1
BRCA	199990	1e-20	38.781	29.279	0.405483724594324	5.02960526315789e-20	FAAP20
BRCA	6497	1e-20	41.614	74.599	-0.842087322219532	5.02960526315789e-20	SKI
BRCA	79906	1.028e-09	9.081	8.282	0.132871973178791	2.80147100760456e-09	MORN1
BRCA	11079	1e-20	90.387	74.739	0.274254029775286	5.02960526315789e-20	RER1
BRCA	5192	0.35697	12.486	11.965	0.0614909740306298	0.384678238500211	PEX10
BRCA	9651	2.7707e-19	2.433	11.683	-2.26360255648177	1.28635636639676e-18	PLCH2
BRCA	55229	0.0071382	18.977	18.812	0.0125987030373343	0.0107976927186387	PANK4
BRCA	388585	0.023102	1	1	0	0.0326299033132159	HES5
BRCA	8764	0.64997	52.334	60.868	-0.217935431091667	0.673278621110158	TNFRSF14
BRCA	100996583	0.81829	1	1	0	0.832436342469399	AL139246.3
BRCA	127281	1e-20	40.604	25.278	0.683739536117558	5.02960526315789e-20	PRXL2B
BRCA	79258	1e-20	1.907	1.09	0.806976708648467	5.02960526315789e-20	MMEL1
BRCA	100287898	0.26039	1	1.498	-0.583037623796664	0.30123806557377	TTC34
BRCA	440556	3.7517e-10	1	1.49	-0.575312330687437	1.0477988248904e-09	PRDM16-DT
BRCA	63976	4.2817e-07	1	1.203	-0.26663664251399	9.87438808446455e-07	PRDM16
BRCA	100422968	0.11414	1	1	0	0.143197904928614	MIR4251
BRCA	27237	1e-20	22.367	11.873	0.913687253452958	5.02960526315789e-20	ARHGEF16
BRCA	1953	0.15931	10.528	13.268	-0.333719523052781	0.194071007064323	MEGF6
BRCA	693135	0.025744	1	1	0	0.0361456161616162	MIR551A
BRCA	127262	1e-20	75.586	116.022	-0.618207444916589	5.02960526315789e-20	TPRG1L
BRCA	49856	1e-20	32.157	25.669	0.325105727258312	5.02960526315789e-20	WRAP73
BRCA	7161	0.47214	3.185	3.653	-0.197788381218356	0.499793727499308	TP73
BRCA	148870	1.2919e-18	2.105	3.734	-0.826901694272444	5.79158062939797e-18	CCDC27
BRCA	388588	1e-20	11.072	6.286	0.816701670837974	5.02960526315789e-20	SMIM1
BRCA	57470	0.17207	33.684	33.409	0.0118266691912965	0.207870711087701	LRRC47
BRCA	9731	5.402e-07	16.342	20.873	-0.353053411547549	1.23709306040939e-06	CEP104
BRCA	1677	0.3977	5.71	5.644	0.0167727576529408	0.425610074191592	DFFB
BRCA	339448	0.0025665	34.906	32.891	0.0857821711654648	0.00409736026033691	C1orf174
BRCA	100133612	5.1801e-20	1	1	0	2.51121525047559e-19	LINC01134
BRCA	105376672	0.18735	1	1	0	0.224239236509759	LINC01345
BRCA	284661	0.077411	1	1	0	0.100362989542114	LINC01777
BRCA	105376679	0.31752	1	1	0	0.346052138376735	LINC01646
BRCA	55966	0.21581	1	1	0	0.254661573883515	AJAP1
BRCA	100616421	0.010294	1	1	0	0.0152573924001551	MIR4689
BRCA	261734	0.25634	7.781	7.829	-0.00887246383375021	0.296882184517497	NPHP4
BRCA	8514	0.00031444	12.708	9.249	0.458367699885161	0.000555813595375723	KCNAB2
BRCA	26038	0.013776	1	1	0	0.0200783274021352	CHD5
BRCA	6146	1e-20	167.196	264.824	-0.663493541308085	5.02960526315789e-20	RPL22
BRCA	388591	0.21693	4.48	5.722	-0.353020765378216	0.255825254524887	RNF207
BRCA	23463	0.48528	62.25	61.618	0.0147219811083609	0.512838139888495	ICMT
BRCA	387509	0.00048958	8.732	10.97	-0.329179490299764	0.000847947236067059	GPR153
BRCA	11332	1e-20	46.23	21.356	1.11418790845879	5.02960526315789e-20	ACOT7
BRCA	54626	8.6949e-18	1.258	1	0.331131922217202	3.7274304953271e-17	HES2
BRCA	83715	1e-20	12.657	5.166	1.29281594482251	5.02960526315789e-20	ESPN
BRCA	100422975	1.5693e-06	1	1	0	3.46642545507079e-06	MIR4252
