Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
CHOL	102466751	2.1924e-05	7.415	1.39	2.41536180973112	4.6094627852085e-05	MIR6859-1
CHOL	102465909	0.0060224	1.474	1	0.559736524432983	0.00939631044377711	MIR6859-2
CHOL	79854	0.0018391	1.027	1	0.0384361816561079	0.00306472972202423	LINC00115
CHOL	100130417	0.18436	2.295	2.443	-0.0901597099660862	0.220646879959048	LINC02593
CHOL	148398	0.06988	2.042	1.671	0.289271132816613	0.0925990449876018	SAMD11
CHOL	26155	2.8607e-11	55.814	26.404	1.07987053996854	1.52570666666667e-10	NOC2L
CHOL	339451	1.7449e-10	9.369	1.892	2.30798298140233	7.85100062545105e-10	KLHL17
CHOL	84069	8.4451e-10	4.499	1	2.16960436691696	3.30731051926298e-09	PLEKHN1
CHOL	84808	4.4693e-07	1.599	1	0.677169938818245	1.16134741872742e-06	PERM1
CHOL	57801	9.8155e-13	42.83	2.907	3.88101870064217	7.71058849223016e-12	HES4
CHOL	9636	8.8539e-05	137.771	61.198	1.17071583065976	0.000172971950699812	ISG15
CHOL	375790	4.4866e-09	180.918	18.316	3.30415957732638	1.54515496961885e-08	AGRN
CHOL	401934	0.0023689	1	1	0	0.00389536492307692	RNF223
CHOL	54991	6.9496e-13	16.118	4.493	1.84292177136515	5.71615296394019e-12	C1orf159
CHOL	254099	0.11807	1	1	0	0.149124267675062	LINC01342
CHOL	406984	0.0015571	1.013	1	0.018634174139051	0.00261930015289145	MIR200B
CHOL	406983	0.001305	2.024	1	1.01720929003222	0.00221655648383582	MIR200A
CHOL	554210	1.5958e-06	6.176	1	2.62667275260599	3.86179883555441e-06	MIR429
CHOL	254173	0.073892	1	1	0	0.0973978835799859	TTLL10
CHOL	8784	0.00023757	5.245	1	2.39094277280254	0.00044104310471464	TNFRSF18
CHOL	7293	0.00022446	9.306	1	3.21816118709516	0.00041819900786931	TNFRSF4
CHOL	51150	1.8366e-05	176.322	141.348	0.31896102350106	3.89652522686025e-05	SDF4
CHOL	126792	1.8989e-11	20.968	10.209	1.03834770164225	1.05388245624444e-10	B3GALT6
CHOL	388581	0.055102	1.251	1	0.323081789503733	0.0743009017374378	C1QTNF12
CHOL	118424	1.1455e-10	41.76	18.776	1.15323196493408	5.34700074868979e-10	UBE2J2
CHOL	6339	0.31498	4.595	5.348	-0.218934603916956	0.339717373375168	SCNN1D
CHOL	116983	8.0364e-07	24.388	12.05	1.01713830465178	2.01626861971831e-06	ACAP3
CHOL	126789	4.9229e-09	11.52	5.221	1.14174265298175	1.68733592816566e-08	PUSL1
CHOL	54973	2.9085e-11	83.886	34.867	1.26656781663322	1.54855064047822e-10	INTS11
CHOL	80772	0.036178	37.596	60.33	-0.68229640682166	0.0505017771475483	CPTP
CHOL	83756	0.23466	1	1	0	0.273105633750233	TAS1R3
CHOL	1855	3.7777e-05	40.787	27.233	0.5827534776084	7.71039947621126e-05	DVL1
CHOL	54587	1.3767e-05	46.036	7.834	2.55494145187459	2.96383480662983e-05	MXRA8
CHOL	54998	0.28671	207.672	196.002	0.0834383379670359	0.32550068831563	AURKAIP1
CHOL	81669	9.7418e-07	82.318	35.679	1.20613275049263	2.41690711234912e-06	CCNL2
CHOL	148413	0.024534	20.844	19.382	0.104914711873838	0.03515813178057	MRPL20-AS1
CHOL	55052	7.8669e-07	118.778	85.741	0.470210497086117	1.97586273130119e-06	MRPL20
CHOL	441869	0.0019335	3.871	1.17	1.72619777782154	0.00321516571834993	ANKRD65
CHOL	643965	0.19556	1	1	0	0.232297360599517	TMEM88B
CHOL	64856	1.1248e-07	62.279	25.189	1.30595193116581	3.156528012003e-07	VWA1
CHOL	219293	0.02941	3.385	1.583	1.09649457832518	0.0416793938475527	ATAD3C
CHOL	83858	1.7991e-09	11.393	3.497	1.70395798577817	6.63715313609467e-09	ATAD3B
CHOL	55210	3.2338e-08	19.073	10.035	0.926491166893594	9.807847446084e-08	ATAD3A
CHOL	339453	7.189e-06	1.32	1	0.400537929583729	1.60668008125224e-05	TMEM240
CHOL	29101	1.874e-10	174.14	114.56	0.604144230738768	8.38748408710218e-10	SSU72
CHOL	643988	4.8076e-07	5.345	1	2.41818994794577	1.24493078222345e-06	FNDC10
CHOL	142678	0.00028359	20.476	12.974	0.658310567513028	0.000520740954250933	MIB2
CHOL	8510	0.020921	3.758	1.514	1.31159986143432	0.0303103318357862	MMP23B
CHOL	984	3.7262e-10	20.586	10.021	1.03863704883946	1.56512114978666e-09	CDK11B
CHOL	728661	1.6017e-08	11.754	3.903	1.59049643554979	5.1018727520436e-08	SLC35E2B
CHOL	728642	0.0057737	1	1	0	0.00903844030800134	CDK11A
CHOL	9906	2.4211e-09	8.389	2.146	1.96684877020537	8.73370383799421e-09	SLC35E2A
CHOL	65220	0.94965	34.284	42.58	-0.312640507682128	0.951787246811703	NADK
