Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
COAD	102466751	3.4455e-08	3.949	1.59	1.31246060228863	1.13897585365854e-07	MIR6859-1
COAD	102465909	0.010837	1	1	0	0.0183443971690258	MIR6859-2
COAD	400728	0.0032904	1	1	0	0.0061612003014318	FAM87B
COAD	79854	4.0578e-15	1.196	1	0.258217389536018	2.44726487055016e-14	LINC00115
COAD	284593	0.15779	1	1	0	0.202512738798692	FAM41C
COAD	100130417	0.19203	1.476	2.498	-0.759080755547561	0.23713992434701	LINC02593
COAD	148398	0.7435	1.66	2.331	-0.489765762894579	0.762526507681724	SAMD11
COAD	26155	1e-20	108.588	59.812	0.860357816003299	9.45981387478849e-20	NOC2L
COAD	339451	1e-20	6.085	2.414	1.33383158684607	9.45981387478849e-20	KLHL17
COAD	84069	1e-20	3.018	1	1.5935928058646	9.45981387478849e-20	PLEKHN1
COAD	84808	6.1095e-16	1	1	0	3.94989154379879e-15	PERM1
COAD	57801	4.5631e-15	10.302	5.838	0.819378329221022	2.7401881122449e-14	HES4
COAD	9636	0.11751	125.427	105.474	0.249960533406114	0.157207234386217	ISG15
COAD	375790	1e-20	63.478	31.8	0.997229908417461	9.45981387478849e-20	AGRN
COAD	401934	0.44125	3.461	3.882	-0.165611176548216	0.469486808925683	RNF223
COAD	54991	9.9613e-14	17.493	11.149	0.649863413941619	5.35749283068783e-13	C1orf159
COAD	254099	8.4577e-10	1	1	0	3.22873924718334e-09	LINC01342
COAD	406984	7.4294e-07	3.356	2.217	0.598133945572516	2.17750553342071e-06	MIR200B
COAD	406983	4.7311e-08	6.543	2.869	1.18940430259324	1.54816490049751e-07	MIR200A
COAD	554210	2.8122e-06	23.23	14.678	0.66233375181383	7.78813976470588e-06	MIR429
COAD	254173	0.00015814	1	1	0	0.000363574053665056	TTLL10
COAD	8784	0.0008364	4.3	7.763	-0.852277627742491	0.00173237132536816	TNFRSF18
COAD	7293	1.1159e-06	5.91	4.622	0.354640870597264	3.21004266786725e-06	TNFRSF4
COAD	51150	3.1013e-13	221.14	286.452	-0.373333405941586	1.59288865181442e-12	SDF4
COAD	126792	1e-20	19.648	12.153	0.693069974962586	9.45981387478849e-20	B3GALT6
COAD	388581	3.2042e-10	5.151	22.549	-2.13013900928107	1.2677905980184e-09	C1QTNF12
COAD	118424	0.00022706	48.76	52.061	-0.0945048976775804	0.000511199313399779	UBE2J2
COAD	6339	0.00063911	1	1	0	0.00134821402980851	SCNN1D
COAD	116983	4.7192e-10	23.083	15.612	0.564175369259362	1.84019999302528e-09	ACAP3
COAD	102465434	0.5468	1	1	0	0.573873118077717	MIR6726
COAD	126789	1e-20	18.626	11.511	0.694304712857331	9.45981387478849e-20	PUSL1
COAD	54973	8.3749e-07	95.804	84.547	0.180332328418143	2.44341668232224e-06	INTS11
COAD	80772	4.4249e-16	39.992	86.832	-1.11851538165887	2.89423921322024e-15	CPTP
COAD	83756	0.15641	1.354	2.208	-0.705512433203172	0.201173108069247	TAS1R3
