Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
GBM	102466751	0.0031722	11.619	5.006	1.21475571106117	0.0103995068786611	MIR6859-1
GBM	79501	0.022799	1	1	0	0.0465700104275287	OR4F5
GBM	102465909	5.2793e-09	1	1	0	5.5329549705725e-08	MIR6859-2
GBM	400728	8.2118e-08	1	1	0	7.41940675276753e-07	FAM87B
GBM	79854	5.4659e-05	1.877	1.101	0.769614181266505	0.000301050543716615	LINC00115
GBM	284593	0.31895	1	1	0	0.378000520329139	FAM41C
GBM	100130417	0.67553	2.461	3.289	-0.418404350377242	0.713907830590774	LINC02593
GBM	148398	0.98547	1.566	1.947	-0.314168671429254	0.987274069452258	SAMD11
GBM	26155	2.9404e-06	68.908	94.115	-0.449753192302075	2.0845658776692e-05	NOC2L
GBM	339451	0.015451	9.162	6.762	0.438212546624631	0.0347838395586714	KLHL17
GBM	84069	0.28859	1	1	0	0.363998771410174	PLEKHN1
GBM	84808	0.31163	1	1	0	0.378000520329139	PERM1
GBM	57801	0.0043789	37.71	27.085	0.477453059670611	0.0134758669599372	HES4
GBM	9636	1.5574e-06	188.637	98.791	0.933161158276676	1.15423197881196e-05	ISG15
GBM	375790	0.017348	82.954	74.126	0.162331886355331	0.0377695480715794	AGRN
GBM	54991	0.00373	14.158	21.894	-0.628918076213205	0.0118480878222799	C1orf159
GBM	254099	0.0079891	1	1	0	0.0215759672962912	LINC01342
GBM	406984	0.22922	1	1	0	0.303109522716533	MIR200B
GBM	406983	0.10902	1	1	0	0.165323508554618	MIR200A
GBM	554210	0.024421	1	1	0	0.0490372678626345	MIR429
GBM	254173	0.16286	1	1	0	0.230097191489362	TTLL10
GBM	8784	0.24261	1.944	3.69	-0.924592597341977	0.316935015671891	TNFRSF18
GBM	7293	0.0057947	4.38	3.249	0.430935126159052	0.0168929010714286	TNFRSF4
GBM	51150	0.00032412	218.613	144.711	0.595204604154694	0.00146998438527437	SDF4
GBM	126792	0.81246	32.798	35.692	-0.121992902067843	0.838309443742099	B3GALT6
GBM	388581	0.69084	1.736	2.3	-0.405866913387258	0.728358572581947	C1QTNF12
GBM	118424	0.0075518	65.232	58.194	0.164709447920149	0.0206224255402203	UBE2J2
GBM	6339	0.33285	9.942	15.352	-0.626818608252772	0.391842406394615	SCNN1D
GBM	116983	0.0043368	70.296	161.821	-1.20288433864703	0.0133778328188976	ACAP3
GBM	102465434	0.27183	1	1	0	0.346902471822269	MIR6726
GBM	126789	0.0022216	16.844	13.822	0.285268396346565	0.00771779010462848	PUSL1
GBM	54973	0.78215	111.262	112.874	-0.0207522620675287	0.811051042879831	INTS11
GBM	80772	0.14177	38.436	45.845	-0.254306193591446	0.205703019259259	CPTP
GBM	83756	4.0494e-07	1	1	0	3.29948615640599e-06	TAS1R3
GBM	1855	2.484e-07	50.132	123.487	-1.30055547494555	2.09185692175408e-06	DVL1
GBM	54587	3.9493e-05	65.984	32.676	1.01388484960316	0.000223904163241679	MXRA8
GBM	54998	0.66572	232.931	236.461	-0.0216996007826675	0.704985855003514	AURKAIP1
GBM	81669	0.054559	83.277	74.076	0.168911900224094	0.0934424842178893	CCNL2
GBM	148413	0.85638	35.85	33.292	0.106797576673369	0.876150184895017	MRPL20-AS1
GBM	55052	0.935	177.76	182.929	-0.0413530839177289	0.944012164321427	MRPL20
GBM	441869	0.058189	10.121	41.124	-2.02262875590311	0.0986332755278643	ANKRD65
GBM	643965	0.21609	1.354	25.6	-4.24084416619973	0.289202713856245	TMEM88B
GBM	64856	0.51445	50.023	52.732	-0.0760871337491968	0.564066420375035	VWA1
GBM	219293	0.0034494	1.756	2.202	-0.326521624029011	0.0111257775728635	ATAD3C
GBM	83858	0.15519	10.683	10.512	0.0232796607618894	0.221661201691702	ATAD3B
GBM	55210	9.0296e-06	31.98	25.716	0.314503682969991	5.86250595956248e-05	ATAD3A
GBM	339453	0.019496	9.875	40.249	-2.02710028613719	0.0412762265456118	TMEM240
GBM	29101	0.37692	245.458	271.264	-0.144221409334961	0.433611849415634	SSU72
GBM	643988	0.014095	6.058	39.411	-2.70168487309959	0.0326158133490845	FNDC10
GBM	142678	0.00051379	39.353	65.755	-0.740626979886164	0.00220414334647394	MIB2
GBM	8510	6.0664e-09	2.039	1.065	0.937008344903396	6.31060240042485e-08	MMP23B
