Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
HNSC	102466751	1.9489e-16	1.648	1	0.720716242521131	1.27997651309561e-15	MIR6859-1
HNSC	102465909	2.7596e-14	1	1	0	1.52308551577831e-13	MIR6859-2
HNSC	400728	0.13217	1	1	0	0.180561484082704	FAM87B
HNSC	79854	2.6338e-14	1	1	0	1.45558362719065e-13	LINC00115
HNSC	284593	0.17531	1	1	0	0.228961284513052	FAM41C
HNSC	100130417	0.4341	1	1.172	-0.228972569760161	0.476500358630874	LINC02593
HNSC	148398	0.011893	1	1	0	0.0207832921074727	SAMD11
HNSC	26155	3.0597e-13	100.887	75.478	0.418612184679841	1.54342065196316e-12	NOC2L
HNSC	339451	1e-20	6.13	2.907	1.07635600244191	9.38791159224177e-20	KLHL17
HNSC	84069	6.0182e-05	9.4	17.322	-0.881872851504776	0.000145191603802017	PLEKHN1
HNSC	84808	0.00037483	2.591	7.866	-1.60212117076282	0.000829223723426871	PERM1
HNSC	57801	1e-20	17.827	7.547	1.24008876148441	9.38791159224177e-20	HES4
HNSC	9636	1e-20	567.34	38.055	3.89805565879303	9.38791159224177e-20	ISG15
HNSC	375790	1e-20	131.365	31.33	2.06796427014977	9.38791159224177e-20	AGRN
HNSC	401934	4.0015e-05	5.65	14.238	-1.33342373372519	9.8118778864279e-05	RNF223
HNSC	54991	1e-20	13.136	7.178	0.871872203961727	9.38791159224177e-20	C1orf159
HNSC	254099	0.089006	1	1	0	0.128128501729146	LINC01342
HNSC	406984	0.51085	1	1	0	0.55152614638448	MIR200B
HNSC	406983	0.085579	1	1	0	0.123857683958	MIR200A
HNSC	554210	8.4697e-08	3.284	1.69	0.958430880608258	2.7389662228092e-07	MIR429
HNSC	254173	0.1889	1	1	0	0.243622239434874	TTLL10
HNSC	8784	1e-20	29.113	8.309	1.80891675000445	9.38791159224177e-20	TNFRSF18
HNSC	7293	2.4443e-10	8.36	1.677	2.3176202534039	9.77954938485198e-10	TNFRSF4
HNSC	51150	1e-20	177.737	101.205	0.812463474754021	9.38791159224177e-20	SDF4
HNSC	126792	1e-20	21.526	11.614	0.890215321071892	9.38791159224177e-20	B3GALT6
HNSC	388581	3.9238e-14	4.648	2.184	1.08963721248468	2.13171624641086e-13	C1QTNF12
HNSC	118424	2.4472e-16	53.448	40.678	0.393887215467453	1.59217172866521e-15	UBE2J2
HNSC	6339	7.8912e-18	4.181	1.252	1.73961348111152	5.840666628734e-17	SCNN1D
HNSC	116983	5.7014e-08	30.78	25.501	0.271439409415186	1.86989029624961e-07	ACAP3
HNSC	126789	0.032589	17.726	17.438	0.0236324344525935	0.0520668501573655	PUSL1
HNSC	54973	1.9374e-20	90.884	65.063	0.482188986983617	1.77791473544974e-19	INTS11
HNSC	80772	0.65996	45.16	46.35	-0.0375238527398923	0.694040092971553	CPTP
HNSC	83756	0.98553	1	1.494	-0.57918014812715	0.987950866486851	TAS1R3
HNSC	1855	0.61495	62.77	63.408	-0.0145896634975409	0.651390018830475	DVL1
HNSC	54587	8.9387e-07	38.427	13.039	1.55928712023709	2.60671378870674e-06	MXRA8
HNSC	54998	2.9605e-06	216.254	173.132	0.320854415412735	8.18502743092455e-06	AURKAIP1
HNSC	81669	1e-20	40.436	17.136	1.23860990517608	9.38791159224177e-20	CCNL2
HNSC	148413	2.5867e-18	19.182	12.775	0.58642985878933	1.99027678743068e-17	MRPL20-AS1
HNSC	55052	0.00034712	133.906	121.886	0.135688180281135	0.000771612577165438	MRPL20
HNSC	441869	0.0092343	16.553	14.985	0.143573625198921	0.0164492884200616	ANKRD65
HNSC	643965	2.1668e-10	1	1	0	8.70274187572366e-10	TMEM88B
HNSC	64856	0.015479	32.581	22.902	0.508557292412339	0.0263961021712413	VWA1
HNSC	219293	0.62603	1	1	0	0.662216432201667	ATAD3C
HNSC	83858	1.9258e-17	13.244	6.561	1.01335128962775	1.3864294500173e-16	ATAD3B
HNSC	55210	1.3971e-19	37.1	20.632	0.846535508606314	1.20007603384234e-18	ATAD3A
HNSC	339453	9.1431e-06	1	1	0	2.40423676942514e-05	TMEM240
HNSC	29101	7.3355e-05	206.153	193.191	0.0936875695901202	0.000175345999196049	SSU72
HNSC	643988	2.0671e-07	14.297	10.84	0.39934769526425	6.44243071278826e-07	FNDC10
HNSC	142678	9.908e-11	32.73	21.172	0.62845604329725	4.09563463753724e-10	MIB2
HNSC	8510	0.007051	1.568	1	0.648925559453121	0.0128381124136121	MMP23B
HNSC	984	3.0343e-12	23.996	17.669	0.44157354561996	1.4185284344115e-11	CDK11B
HNSC	728661	0.98458	7.048	7.508	-0.0912147259104606	0.987283847562151	SLC35E2B
HNSC	728642	4.4796e-11	1	1	0	1.90118097063622e-10	CDK11A
HNSC	9906	0.075834	2.989	2.828	0.0798807768686957	0.111236383254634	SLC35E2A
HNSC	65220	1.5065e-08	40.273	23.886	0.753647667678065	5.20497750664011e-08	NADK
HNSC	2782	1e-20	291.7	151.417	0.945958196507866	9.38791159224177e-20	GNB1
HNSC	163688	0.0289	1	1	0	0.046663747090768	CALML6
HNSC	339456	0.0044295	2.79	5.216	-0.902678747514528	0.00837416509219729	TMEM52
HNSC	85452	0.18506	1	1	0	0.239396717011623	CFAP74
HNSC	2563	7.8892e-10	1	1	0	3.02668976221198e-09	GABRD
HNSC	5590	0.0014071	15.985	14.436	0.14704769577065	0.00287004824578597	PRKCZ
HNSC	100506504	2.0507e-15	2.029	1.125	0.85084386365226	1.24181609252255e-14	PRKCZ-AS1
HNSC	199990	2.0149e-14	34.43	18.179	0.921393339721266	1.12459409224993e-13	FAAP20
HNSC	6497	0.00024048	33.328	27.716	0.266015683140379	0.000544434033065042	SKI
HNSC	79906	0.1825	4.078	3.558	0.196795264749437	0.236643978568313	MORN1
HNSC	11079	7.3286e-05	71.325	62.77	0.184332632886001	0.00017520118515966	RER1
HNSC	5192	0.00015822	10.516	9.554	0.13840926514678	0.000366177344601357	PEX10
HNSC	9651	2.0173e-05	19.577	14.09	0.474488090131348	5.12400108616061e-05	PLCH2
HNSC	55229	6.6113e-05	19.71	14.087	0.484563371685549	0.000158745947046608	PANK4
HNSC	388585	0.13374	1	1	0	0.182430896578844	HES5
HNSC	8764	0.00049981	34.677	27.408	0.339382036017863	0.00108722256793478	TNFRSF14
HNSC	100996583	0.031723	1	1	0	0.0507807105829872	AL139246.3
HNSC	127281	1.0858e-05	16.99	11.976	0.504539726013166	2.83690125533517e-05	PRXL2B
HNSC	79258	0.32984	1	1	0	0.372286329718004	MMEL1
HNSC	100287898	0.74683	1	1	0	0.774825421963013	TTC34
HNSC	440556	0.051396	1	1	0	0.0785162175572519	PRDM16-DT
HNSC	63976	0.00066816	1	1	0	0.00142586015379883	PRDM16
HNSC	100422968	0.31778	1	1	0	0.362229866914946	MIR4251
HNSC	27237	0.00037461	24.85	19.581	0.343791406651822	0.000828825122780908	ARHGEF16
HNSC	1953	8.2385e-05	10.037	7.519	0.416715414181496	0.000195896150462699	MEGF6
HNSC	693135	0.12905	1	1	0	0.177031218692328	MIR551A
HNSC	127262	8.8539e-06	93.51	85.636	0.126903245702912	2.33142991776316e-05	TPRG1L
HNSC	49856	1e-20	32.109	15.593	1.04207921394716	9.38791159224177e-20	WRAP73
HNSC	7161	3.5428e-15	12.829	7.275	0.818389565909211	2.10254623324779e-14	TP73
HNSC	148870	0.27183	1	1	0	0.331843380256907	CCDC27
HNSC	388588	0.24727	2.316	1.66	0.48045201175495	0.306207562920212	SMIM1
HNSC	57470	3.1417e-06	31.166	25.171	0.308210470762816	8.66183628295138e-06	LRRC47
HNSC	9731	2.5731e-09	12.677	9.454	0.423216603649122	9.45681269645064e-09	CEP104
HNSC	1677	1.5912e-10	2.969	2.098	0.500962415409388	6.46197962926829e-10	DFFB
HNSC	339448	1e-20	31.483	20.62	0.610528688409566	9.38791159224177e-20	C1orf174
HNSC	100133612	1.7343e-05	1	1	0	4.4343963022113e-05	LINC01134
