Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
KICH	102466751	0.00052136	1.433	1	0.519038609600059	0.00130416222222222	MIR6859-1
KICH	79501	0.32102	1	1	0	0.379923122681255	OR4F5
KICH	102465909	0.235	1	1	0	0.30712693562947	MIR6859-2
KICH	81399	0.32102	1	1	0	0.379923122681255	OR4F16
KICH	79854	0.83464	1	1.076	-0.105678077894537	0.858433009289618	LINC00115
KICH	284593	0.050139	1	1	0	0.0810570450953444	FAM41C
KICH	100130417	2.8244e-06	1	13.564	-3.76171078436334	1.11559354459601e-05	LINC02593
KICH	148398	2.7971e-10	1	13.409	-3.74512974459542	2.70664365552699e-09	SAMD11
KICH	26155	0.0092066	47.129	59.481	-0.335813832256918	0.017629201200529	NOC2L
KICH	339451	0.020528	4.707	6.556	-0.478008001410205	0.0363391166290444	KLHL17
KICH	84069	0.46503	1	1	0	0.517521856078524	PLEKHN1
KICH	84808	0.3238	1	1	0	0.381419510216718	PERM1
KICH	57801	0.00027301	4.67	16.375	-1.81000045160251	0.000722384536763672	HES4
KICH	9636	0.044539	38.956	67.363	-0.790110840843451	0.072886576732458	ISG15
KICH	375790	1.6807e-07	60.56	176.944	-1.54685573176198	8.61919746594005e-07	AGRN
KICH	401934	0.02316	1	1.864	-0.898401859992193	0.0405860670391061	RNF223
KICH	54991	0.1229	8.962	11.08	-0.306065249784045	0.177862429834679	C1orf159
KICH	254099	0.32729	1	1	0	0.381419510216718	LINC01342
KICH	406984	0.1099	1	1.365	-0.448900951145128	0.161308180754835	MIR200B
KICH	406983	0.75685	1.654	1.555	0.0890446541533099	0.788610632231634	MIR200A
KICH	554210	0.15001	3.922	6.536	-0.736818447953534	0.211027596232902	MIR429
KICH	254173	0.1448	1	1	0	0.204844222155419	TTLL10
KICH	8784	0.90144	1.185	1	0.244887059123534	0.91604137141623	TNFRSF18
KICH	7293	0.065783	5.922	4.93	0.26449684391228	0.10312359178744	TNFRSF4
KICH	51150	1.9622e-10	168.424	246.073	-0.546988635378038	1.98069580160858e-09	SDF4
KICH	126792	0.46431	18.215	19.331	-0.0857892755633664	0.516842826472676	B3GALT6
KICH	388581	0.00019667	1.1	3.903	-1.82707993902693	0.000537075750145096	C1QTNF12
KICH	118424	1.0253e-05	32.642	49.311	-0.595180055166243	3.6238819342723e-05	UBE2J2
KICH	6339	0.12679	1.024	2.375	-1.21371179810567	0.182677378090791	SCNN1D
KICH	116983	0.13208	13.338	19.437	-0.543263209440768	0.189270418760469	ACAP3
KICH	126789	0.2004	8.887	12.337	-0.473223222329218	0.268967296584183	PUSL1
KICH	54973	0.2131	89.257	90.383	-0.0180861265997495	0.282925726580135	INTS11
KICH	80772	3.3731e-07	104.571	60.546	0.788379257901689	1.6211725e-06	CPTP
KICH	83756	0.11084	1.096	1	0.13224779829844	0.162407134293499	TAS1R3
KICH	1855	0.0034618	66.642	51.805	0.363340350754759	0.00729777529121864	DVL1
KICH	54587	0.14873	7.248	39.862	-2.45935923597462	0.209508818950677	MXRA8
KICH	54998	0.85449	328.048	347.946	-0.084956496731235	0.875230274285714	AURKAIP1
KICH	81669	0.0021976	24.142	38.726	-0.681757294923315	0.00482963914058851	CCNL2
KICH	148413	0.0014218	22.931	31.75	-0.469457320979044	0.0032502973156808	MRPL20-AS1
KICH	55052	1.0066e-09	141.59	202.878	-0.51889305178833	8.49645771300448e-09	MRPL20
KICH	441869	2.0865e-09	2.096	10.607	-2.33930605150071	1.63761536697248e-08	ANKRD65
KICH	643965	0.66537	1	1	0	0.706772684124386	TMEM88B
KICH	64856	0.00065071	32.355	50.475	-0.641580328337226	0.00159809052061587	VWA1
KICH	219293	5.3062e-08	2.356	9.817	-2.05894267616893	3.0662569910961e-07	ATAD3C
KICH	83858	0.33535	6.543	7.319	-0.161694274859415	0.38948610614008	ATAD3B
KICH	55210	9.6746e-05	21.524	17.315	0.313923824370183	0.000282040964374226	ATAD3A
KICH	339453	0.0032891	1	1.799	-0.847195186589395	0.00696804942593426	TMEM240
KICH	29101	2.8799e-09	206.329	282.109	-0.451306082852686	2.20335763821138e-08	SSU72
KICH	643988	0.00018135	10.076	8.893	0.180180936423876	0.0004987125	FNDC10
KICH	142678	0.071594	25.604	30.227	-0.239468586291583	0.111136258721649	MIB2
KICH	8510	0.0063275	1	2.313	-1.2097652659741	0.0125754886483633	MMP23B
KICH	984	0.0082102	18.523	23.689	-0.354899520815593	0.0158861081731264	CDK11B
KICH	728661	0.000554	12.634	17.156	-0.44140174375515	0.00137793498083785	SLC35E2B
KICH	728642	0.61586	1	1	0	0.660423967865079	CDK11A
KICH	9906	0.03272	5.234	7.177	-0.455466996323846	0.055339964054637	SLC35E2A
KICH	65220	0.0076538	33.214	40.458	-0.284633524782658	0.0149168654654655	NADK
KICH	2782	1.9671e-11	216.68	367.621	-0.762653185641443	2.49985071573261e-10	GNB1
KICH	163688	0.095251	1	1	0	0.14276651039261	CALML6
