Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
KIRC	102466751	1e-20	4.515	1.143	1.98190058415374	5.66341093670886e-20	MIR6859-1
KIRC	79501	0.36922	1	1	0	0.397687190946304	OR4F5
KIRC	102465909	2.1678e-15	1	1	0	8.64722932049224e-15	MIR6859-2
KIRC	729759	0.31776	1	1	0	0.345689000437765	OR4F29
KIRC	81399	0.31776	1	1	0	0.345689000437765	OR4F16
KIRC	400728	0.059997	1	1	0	0.084629976160444	FAM87B
KIRC	79854	1e-20	1.159	1	0.212880566344385	5.66341093670886e-20	LINC00115
KIRC	284593	0.092358	1	1	0	0.124701420344099	FAM41C
KIRC	100130417	0.56236	5.06	10.306	-1.02627520757136	0.587992322004581	LINC02593
KIRC	148398	0.0081954	3.145	7.562	-1.26570783222058	0.0133648061538462	SAMD11
KIRC	26155	1.071e-06	62.959	56.335	0.160381102865765	2.40236545983352e-06	NOC2L
KIRC	339451	1e-20	5.386	3.202	0.750240921985415	5.66341093670886e-20	KLHL17
KIRC	84069	1e-20	2.338	1	1.22527492986957	5.66341093670886e-20	PLEKHN1
KIRC	84808	1e-20	1.83	1	0.871843648509318	5.66341093670886e-20	PERM1
KIRC	57801	1e-20	23.22	5.43	2.0963438690612	5.66341093670886e-20	HES4
KIRC	9636	2.7457e-16	122.476	49.351	1.31134784763884	1.16043700302343e-15	ISG15
KIRC	375790	0.55789	154.58	160.76	-0.0565548111594535	0.583618696913003	AGRN
KIRC	401934	0.00072164	1	1	0	0.00130633658789252	RNF223
KIRC	54991	1e-20	9.045	6.245	0.534418931013284	5.66341093670886e-20	C1orf159
KIRC	254099	0.03172	1	1	0	0.0475438627529822	LINC01342
KIRC	406984	0.048189	1	1	0	0.0694455653350515	MIR200B
KIRC	406983	0.053142	1	1	0	0.0758212536361317	MIR200A
KIRC	554210	0.2231	1.109	2.042	-0.880723500716092	0.270596944851147	MIR429
KIRC	254173	0.074385	1	1	0	0.102773345070423	TTLL10
KIRC	8784	1e-20	2.969	1	1.56997709332457	5.66341093670886e-20	TNFRSF18
KIRC	7293	1e-20	19.513	2.443	2.99770983149452	5.66341093670886e-20	TNFRSF4
KIRC	51150	3.2703e-11	231.713	206.325	0.167420346897833	9.93662950686048e-11	SDF4
KIRC	126792	8.3327e-07	19.928	17.721	0.169336908896971	1.88384886485394e-06	B3GALT6
KIRC	388581	0.045606	4.507	4.895	-0.119141409775698	0.0661151021519316	C1QTNF12
KIRC	118424	3.5125e-13	44.553	39.169	0.185810283471359	1.21516744006187e-12	UBE2J2
KIRC	6339	1e-20	2.642	1	1.40163046658474	5.66341093670886e-20	SCNN1D
KIRC	116983	1e-20	18.44	12.742	0.533246913210499	5.66341093670886e-20	ACAP3
KIRC	102465434	0.45487	1	1	0	0.482642555149675	MIR6726
KIRC	126789	0.061571	7.293	7.643	-0.0676266362661733	0.0865663179532311	PUSL1
KIRC	54973	1e-20	83.213	67.519	0.30151539489937	5.66341093670886e-20	INTS11
KIRC	80772	3.6668e-08	35.183	48.018	-0.448696810630075	9.09825258486798e-08	CPTP
KIRC	83756	0.00019098	1	1	0	0.000363404686064318	TAS1R3
KIRC	1855	6.696e-05	37.96	33.898	0.163279836259936	0.000131856608557845	DVL1
KIRC	54587	4.8638e-17	63.714	38.133	0.740570378219591	2.14987649802372e-16	MXRA8
KIRC	54998	9.9298e-11	170.704	233.294	-0.450652339140321	2.92724274153157e-10	AURKAIP1
KIRC	81669	1e-20	59.966	21.797	1.46001515648566	5.66341093670886e-20	CCNL2
KIRC	148413	7.6307e-19	17.51	25.979	-0.569166814958623	3.80107430289532e-18	MRPL20-AS1
KIRC	55052	5.141e-17	135.423	167.819	-0.309433278474277	2.26658005125172e-16	MRPL20
KIRC	441869	8.0415e-10	3.913	7.53	-0.944374754658497	2.22897743214773e-09	ANKRD65
KIRC	643965	0.46986	1	1	0	0.497368013630555	TMEM88B
KIRC	64856	1e-20	101.107	46.168	1.13091774241293	5.66341093670886e-20	VWA1
KIRC	219293	5.4324e-09	3.685	7.327	-0.991557996357006	1.4217301474374e-08	ATAD3C
KIRC	83858	1e-20	5.842	2.905	1.00792419453729	5.66341093670886e-20	ATAD3B
KIRC	55210	0.0018913	13.343	13.441	-0.0105574032961025	0.00330346081999219	ATAD3A
KIRC	339453	0.58853	1	1.248	-0.319617934200161	0.613462365661556	TMEM240
KIRC	29101	1e-20	171.884	264.611	-0.622437780048939	5.66341093670886e-20	SSU72
KIRC	643988	3.0313e-10	2.057	6.504	-1.66078546355009	8.63779536246656e-10	FNDC10
KIRC	142678	1e-20	25.423	19.206	0.404577200566114	5.66341093670886e-20	MIB2
KIRC	8510	0.52643	1.32	2.115	-0.680119733761496	0.552724316026664	MMP23B
KIRC	984	0.43205	21.351	21.764	-0.0276400917088897	0.460131912766059	CDK11B
KIRC	728661	0.017138	16.566	18.166	-0.133015491499898	0.0267692232697814	SLC35E2B
KIRC	728642	3.9673e-15	1	1	0	1.5542587458399e-14	CDK11A
KIRC	9906	0.12665	9.71	11.007	-0.180878109663144	0.165720113496753	SLC35E2A
KIRC	65220	0.0093722	34.532	35.35	-0.0337763214305982	0.0151886548221143	NADK
KIRC	2782	0.072415	385.352	396.466	-0.0410202704170835	0.100308331083173	GNB1
KIRC	163688	8.1103e-12	1	1	0	2.56710536012452e-11	CALML6
KIRC	339456	7.0973e-08	1.121	2.296	-1.03433636387026	1.72879777608364e-07	TMEM52
KIRC	85452	3.6471e-06	1	1	0	7.85923871278543e-06	CFAP74
KIRC	2563	1e-20	19.367	1	4.27552858882227	5.66341093670886e-20	GABRD
KIRC	5590	1e-20	12.963	24.4	-0.912481511026721	5.66341093670886e-20	PRKCZ
KIRC	100506504	0.0030769	2.655	2.761	-0.0564790268965534	0.0052621154152011	PRKCZ-AS1
KIRC	199990	2.3619e-09	41.355	36.707	0.172006557799092	6.32725540783327e-09	FAAP20
KIRC	6497	5.2584e-18	50.426	35.868	0.491470486414528	2.46871062972292e-17	SKI
KIRC	79906	0.97044	9.013	9.737	-0.111469951244596	0.972919496167466	MORN1
KIRC	11079	1.4409e-05	81.114	85.355	-0.073524727001303	2.98344467691168e-05	RER1
KIRC	5192	0.19153	15.551	16.166	-0.055955397583988	0.237090988487934	PEX10
KIRC	9651	0.66497	3.387	4.127	-0.285085451512878	0.686771288326561	PLCH2
KIRC	55229	3.851e-11	19.342	24.859	-0.362031282468111	1.16551374830852e-10	PANK4
KIRC	388585	6.1898e-14	1	1	0	2.24305033700583e-13	HES5
KIRC	8764	1e-20	192.385	51.82	1.89241539786801	5.66341093670886e-20	TNFRSF14
KIRC	100996583	1.0251e-12	1.153	1	0.205392512989685	3.44151705193636e-12	AL139246.3
KIRC	127281	0.0030093	33.58	35.329	-0.0732506835316383	0.00515280996784566	PRXL2B
KIRC	79258	0.028287	1	1	0	0.0427622198039878	MMEL1
KIRC	100287898	1e-20	2.04	1.082	0.914868653032043	5.66341093670886e-20	TTC34
KIRC	440556	2.1501e-15	1	65.656	-6.03685495329737	8.5781549411345e-15	PRDM16-DT
KIRC	63976	4.2531e-18	1	13.322	-3.73573878191235	2.01322401269841e-17	PRDM16
KIRC	100422968	0.44002	1	1	0	0.467973719448407	MIR4251
KIRC	27237	1.8532e-06	34.187	31.394	0.122958969442631	4.08643115449078e-06	ARHGEF16
KIRC	1953	1e-20	8.435	4.463	0.918374261923073	5.66341093670886e-20	MEGF6
KIRC	693135	0.05926	1	1	0	0.0836853870438187	MIR551A
KIRC	127262	1e-20	89.773	143.706	-0.678766785922316	5.66341093670886e-20	TPRG1L
KIRC	49856	6.3834e-05	23.009	21.318	0.110126189085536	0.000125933778248214	WRAP73
KIRC	7161	4.2872e-07	1	1	0	9.88327305710163e-07	TP73
KIRC	148870	0.56334	2.584	2.775	-0.102881701430906	0.588906867959804	CCDC27
KIRC	388588	0.00089265	12.303	17.679	-0.52302652252439	0.00160335768551237	SMIM1
KIRC	57470	1e-20	28.827	37.722	-0.387985464282619	5.66341093670886e-20	LRRC47
KIRC	9731	5.0932e-18	16.748	24.057	-0.522467920945088	2.39366487077117e-17	CEP104
KIRC	1677	0.00022916	4.139	4.055	0.0295803341256554	0.000433143966872306	DFFB
KIRC	339448	0.01887	29.959	29.452	0.0246238623297748	0.0293067439761128	C1orf174
KIRC	100133612	5.6346e-09	1	1	0	1.47309717825833e-08	LINC01134
KIRC	105376672	0.24336	1	1	0	0.291864966486139	LINC01345
KIRC	105376679	0.29093	1	1	0	0.33935063099708	LINC01646
KIRC	55966	9.3853e-13	2.863	9.22	-1.68723908031735	3.15751533995187e-12	AJAP1
KIRC	100616421	0.055462	1	1	0	0.0788095992376112	MIR4689
KIRC	261734	0.26262	6.785	6.486	0.0650197918504101	0.311721006209202	NPHP4
KIRC	8514	0.36882	21.042	17.818	0.239936427287049	0.39727548256598	KCNAB2
KIRC	26038	0.0059071	1	1	0	0.00979378788732394	CHD5
KIRC	6146	7.5889e-12	172.116	211.755	-0.299014817800693	2.41030016188583e-11	RPL22
KIRC	388591	1e-20	6.072	3.816	0.670110619409955	5.66341093670886e-20	RNF207
KIRC	23463	1e-20	46.124	88.083	-0.933345973287245	5.66341093670886e-20	ICMT
KIRC	387509	1.681e-06	4.259	3.474	0.293916975839945	3.71661190193752e-06	GPR153
KIRC	11332	0.44668	89.244	78.429	0.186367972361434	0.474582911975678	ACOT7
KIRC	54626	0.68028	1	1	0	0.701546591663593	HES2
KIRC	83715	1.7656e-05	9.546	17.677	-0.888905211260187	3.62820742374127e-05	ESPN
KIRC	100422975	0.41407	1	1	0	0.442447605579973	MIR4252
KIRC	8718	1e-20	10.548	3.753	1.49085328097758	5.66341093670886e-20	TNFRSF25
KIRC	57449	1e-20	10.417	6.45	0.691568788907703	5.66341093670886e-20	PLEKHG5
KIRC	79707	0.31379	9.097	9.154	-0.00901143879208985	0.345689000437765	NOL9
KIRC	80835	0.58024	1	1	0	0.605244279451544	TAS1R1
KIRC	3104	1e-20	22.915	16.997	0.431012155058511	5.66341093670886e-20	ZBTB48
KIRC	9903	2.7196e-10	25.683	50.94	-0.98798522785541	7.78331076135637e-10	KLHL21
KIRC	148479	0.076224	16.141	17.076	-0.08124010554163	0.105015768387335	PHF13
KIRC	90326	0.91198	22.038	21.214	0.0549766284146505	0.919503434161295	THAP3
