Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
KIRP	102466751	1.801e-12	5.428	1.212	2.1630310219459	1.43138167795335e-11	MIR6859-1
KIRP	102465909	2.2774e-07	1.003	1	0.00432160595009347	8.48801605504587e-07	MIR6859-2
KIRP	400728	0.11581	1	1	0	0.1642157504363	FAM87B
KIRP	79854	0.043856	1.094	1	0.12961273813047	0.0695017254313578	LINC00115
KIRP	284593	0.019327	1	1	0	0.0330058912691997	FAM41C
KIRP	100130417	0.014787	2.617	17.706	-2.75825249710513	0.0258803127589064	LINC02593
KIRP	148398	0.00010897	2.212	12.447	-2.4923747723581	0.000269838383542375	SAMD11
KIRP	26155	0.057724	62.704	64.57	-0.042306549032502	0.0890152200890576	NOC2L
KIRP	339451	9.1263e-07	8.58	5.748	0.577917585929572	3.11458945880452e-06	KLHL17
KIRP	84069	1e-20	5.259	1	2.39478849681861	2.55132850241546e-19	PLEKHN1
KIRP	84808	1.3685e-06	2.136	1.292	0.725305576993629	4.55125354219144e-06	PERM1
KIRP	57801	2.9137e-05	17.074	10.597	0.688145187303643	7.86304451967297e-05	HES4
KIRP	9636	5.9632e-06	72.159	53.93	0.420091311604058	1.79960857142857e-05	ISG15
KIRP	375790	0.19155	211.526	211.022	0.00344159075621534	0.251348136645963	AGRN
KIRP	401934	0.14955	1	1	0	0.205185669286225	RNF223
KIRP	54991	2.2504e-07	15.23	9.77	0.640485474518907	8.39034592304977e-07	C1orf159
KIRP	254099	0.10577	1	1	0	0.15177226260019	LINC01342
KIRP	406984	0.21424	1	1.796	-0.84478735007906	0.275998292474692	MIR200B
KIRP	406983	0.46991	1.352	2.054	-0.603341030036011	0.512221297729618	MIR200A
KIRP	554210	0.7264	5.058	5.69	-0.169861615530706	0.756666666666667	MIR429
KIRP	254173	0.25592	1	1	0	0.319767551901579	TTLL10
KIRP	8784	2.8544e-10	2.113	1	1.07929276727285	1.61477576974565e-09	TNFRSF18
KIRP	7293	0.029474	3.148	3.034	0.053214455260453	0.0484467981637099	TNFRSF4
KIRP	51150	0.22554	272.07	260.542	0.062461928342812	0.287452941176471	SDF4
KIRP	126792	3.0481e-05	24.736	20.088	0.300278290653347	8.20373455217225e-05	B3GALT6
KIRP	388581	0.33304	6.196	9.572	-0.62748325274893	0.37584646615738	C1QTNF12
KIRP	118424	0.031349	49.031	48.546	0.0143417579358562	0.0512972598760651	UBE2J2
KIRP	6339	4.5984e-15	5.165	2.221	1.21755895620544	5.39973318510283e-14	SCNN1D
KIRP	116983	4.8078e-15	34.912	20.591	0.761709110752114	5.63309900166389e-14	ACAP3
KIRP	102465434	0.042279	1	1	0	0.0673054917106255	MIR6726
KIRP	126789	1.2655e-10	13.903	11.017	0.335664800138875	7.60776536710302e-10	PUSL1
KIRP	54973	0.12829	99.662	87.386	0.189641360170063	0.179621305010604	INTS11
KIRP	80772	0.0029563	52.906	66.958	-0.339825090226862	0.00585138550548112	CPTP
KIRP	83756	0.16945	1	1	0	0.227003329105897	TAS1R3
KIRP	1855	0.42002	47.284	49.043	-0.0526951467805425	0.462878736501643	DVL1
KIRP	54587	0.0011972	54.662	55.722	-0.0277087938925937	0.00252177186160136	MXRA8
KIRP	54998	0.20045	297.903	336.891	-0.177439235395625	0.261115264845532	AURKAIP1
KIRP	81669	1.7329e-13	76.95	35.32	1.12343598356711	1.61124614876761e-12	CCNL2
KIRP	148413	0.31072	28.567	27.691	0.044932383339466	0.361417441922994	MRPL20-AS1
KIRP	55052	9.7207e-07	145.808	175.611	-0.268313338163006	3.30356800997426e-06	MRPL20
KIRP	441869	0.16292	1.228	9.196	-2.904695905348	0.219845736186522	ANKRD65
KIRP	643965	0.18476	1	1	0	0.243864729771946	TMEM88B
KIRP	64856	3.3598e-06	27.633	54.47	-0.979069669118685	1.0499375e-05	VWA1
KIRP	219293	0.0056901	6.377	8.624	-0.435479296892851	0.0107487581597067	ATAD3C
KIRP	83858	5.7051e-06	10.151	5.825	0.801291902971964	1.72615636637067e-05	ATAD3B
KIRP	55210	1.8519e-10	26.843	19.233	0.480962103008453	1.08219605809129e-09	ATAD3A
KIRP	339453	0.19363	1.6	1.438	0.154008229335427	0.253638850995225	TMEM240
