Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
LIHC	102466751	6.8059e-10	1.604	1	0.681674141792833	1.53921487702595e-09	MIR6859-1
LIHC	102465909	5.3124e-05	1	1	0	9.20649900990099e-05	MIR6859-2
LIHC	400728	0.31796	1	1	0	0.333960092641331	FAM87B
LIHC	79854	2.6468e-12	1	1	0	6.68196447368421e-12	LINC00115
LIHC	100130417	0.096274	1	1.507	-0.591679416935737	0.119974468619247	LINC02593
LIHC	148398	0.84145	1	1.143	-0.192825403552391	0.848637518321961	SAMD11
LIHC	26155	1e-20	43.891	26.932	0.704603770582061	3.65927012653585e-20	NOC2L
LIHC	339451	1e-20	3.748	1.31	1.51655414123437	3.65927012653585e-20	KLHL17
LIHC	84069	1.7589e-09	1	1	0	3.88887430470914e-09	PLEKHN1
LIHC	84808	6.5428e-07	1	1	0	1.27011412783345e-06	PERM1
LIHC	57801	2.62e-15	5.63	1.834	1.61814128337254	7.52981132075472e-15	HES4
LIHC	9636	0.39385	137.783	85.948	0.680861921956652	0.409935991862709	ISG15
LIHC	375790	3.0569e-16	31.091	13.006	1.25731969087082	9.18912060861705e-16	AGRN
LIHC	401934	0.11955	1	1	0	0.146224144906216	RNF223
LIHC	54991	1e-20	6.885	2.96	1.21785947850601	3.65927012653585e-20	C1orf159
LIHC	254099	0.31796	1	1	0	0.333960092641331	LINC01342
LIHC	406984	0.024542	1	1	0	0.0334721496821817	MIR200B
LIHC	406983	0.057761	1	1	0	0.0746672061414874	MIR200A
LIHC	554210	0.01783	1	1	0	0.0247964747700028	MIR429
LIHC	8784	2.4115e-12	2.088	1	1.0621217119078	6.10260887761573e-12	TNFRSF18
LIHC	7293	1e-20	6.336	1	2.66357233541752	3.65927012653585e-20	TNFRSF4
LIHC	51150	3.9016e-14	167.357	137.688	0.281526066600122	1.06705765350877e-13	SDF4
LIHC	126792	1e-20	15.181	9.117	0.735635746128112	3.65927012653585e-20	B3GALT6
LIHC	388581	1.5561e-05	1	1	0	2.78754101804471e-05	C1QTNF12
LIHC	118424	1e-20	29.732	18.711	0.668129848377708	3.65927012653585e-20	UBE2J2
LIHC	6339	1e-20	3.297	1.737	0.924556132959995	3.65927012653585e-20	SCNN1D
LIHC	116983	1e-20	15.216	7.658	0.990549586010403	3.65927012653585e-20	ACAP3
LIHC	126789	1e-20	11.161	4.922	1.18114973221609	3.65927012653585e-20	PUSL1
LIHC	54973	1e-20	58.84	34.465	0.771665231276756	3.65927012653585e-20	INTS11
LIHC	80772	0.55761	45.296	51.924	-0.1970178722373	0.573090390934844	CPTP
LIHC	83756	0.004085	1	1	0	0.00608617113417457	TAS1R3
LIHC	1855	1e-20	36.629	23.342	0.650058134892234	3.65927012653585e-20	DVL1
LIHC	54587	0.00040119	7.166	6.06	0.241850249850423	0.00065232604791395	MXRA8
LIHC	54998	3.4539e-10	244.911	201.984	0.278016557382238	7.92447057606071e-10	AURKAIP1
LIHC	81669	1e-20	43.165	19.036	1.1811316288804	3.65927012653585e-20	CCNL2
LIHC	148413	1e-20	24.432	15.618	0.645562249671583	3.65927012653585e-20	MRPL20-AS1
LIHC	55052	7.9873e-19	131.229	98.249	0.417571944613589	2.6872126825156e-18	MRPL20
LIHC	441869	3.5384e-18	3.129	1.025	1.61007774884811	1.15689388169753e-17	ANKRD65
LIHC	643965	1.5387e-06	1	1	0	2.91827961220416e-06	TMEM88B
LIHC	64856	6.524e-19	48.989	33.742	0.537912353085124	2.20457063505504e-18	VWA1
LIHC	219293	0.038227	1	2.066	-1.04684025420297	0.0507607345444866	ATAD3C
LIHC	83858	1e-20	6.283	2.71	1.21316072850487	3.65927012653585e-20	ATAD3B
LIHC	55210	1e-20	17.675	11.277	0.648326893819951	3.65927012653585e-20	ATAD3A
LIHC	339453	5.699e-05	1	1	0	9.85337890997314e-05	TMEM240
LIHC	29101	1e-20	158.152	117.148	0.432979476267746	3.65927012653585e-20	SSU72
LIHC	643988	2.8742e-08	1.133	1	0.180147861158429	5.99412487458194e-08	FNDC10
LIHC	142678	1e-20	15.797	10.774	0.552096632665337	3.65927012653585e-20	MIB2
LIHC	8510	0.0025794	1.09	1.405	-0.366241995444	0.00392296856707317	MMP23B
LIHC	984	1e-20	14.025	9.02	0.636801432240774	3.65927012653585e-20	CDK11B
LIHC	728661	1e-20	6.498	3.133	1.05245097395843	3.65927012653585e-20	SLC35E2B
LIHC	728642	2.1536e-08	1	1	0	4.52346677894737e-08	CDK11A
LIHC	9906	2.1558e-11	2.691	1.041	1.370172322341	5.22429356327423e-11	SLC35E2A
LIHC	65220	0.070508	44.649	43.323	0.0434947146697457	0.0899563063938619	NADK
LIHC	2782	1e-20	133.076	87.964	0.597265292757894	3.65927012653585e-20	GNB1
LIHC	163688	4.7973e-17	1.026	1	0.037030730944967	1.4903522372723e-16	CALML6
LIHC	339456	0.058127	6.279	7.339	-0.225048684905475	0.0750868232019162	TMEM52
LIHC	85452	0.85384	1	1	0	0.860480977777778	CFAP74
LIHC	2563	1e-20	3.463	1	1.79202238753514	3.65927012653585e-20	GABRD
LIHC	5590	6.9663e-06	6.898	5.664	0.284356863377856	1.27539728598954e-05	PRKCZ
LIHC	100506504	1.0367e-20	1	1	0	3.78939582341088e-20	PRKCZ-AS1
LIHC	199990	1e-20	31.535	19.295	0.708726889329888	3.65927012653585e-20	FAAP20
LIHC	6497	2.8162e-08	15.978	12.565	0.346676163163753	5.87685157916754e-08	SKI
LIHC	79906	2.2715e-19	2.572	1.923	0.41953187998805	7.82283586468761e-19	MORN1
LIHC	11079	1e-20	75.428	53.974	0.482835563813374	3.65927012653585e-20	RER1
LIHC	5192	1e-20	7.438	4.298	0.791249265184204	3.65927012653585e-20	PEX10
LIHC	9651	1.27e-10	1	1	0	2.96705069663974e-10	PLCH2
LIHC	55229	1.4209e-11	12.064	9.508	0.34349452532623	3.47458806372549e-11	PANK4
LIHC	388585	0.040228	1	1	0	0.0532371343679533	HES5
LIHC	8764	1.0153e-18	59.761	38.174	0.646613924499929	3.3986405301124e-18	TNFRSF14
LIHC	100996583	1.1059e-05	1	1	0	2.00028359318347e-05	AL139246.3
LIHC	127281	1e-20	11.072	4.239	1.38511997658163	3.65927012653585e-20	PRXL2B
LIHC	79258	0.00092044	1	1	0	0.00145742419933344	MMEL1
LIHC	100287898	0.0011789	1	1	0	0.0018493530345912	TTC34
LIHC	440556	6.6375e-06	1	1	0	1.21598122475211e-05	PRDM16-DT
LIHC	63976	5.8918e-10	1	1	0	1.3368771571526e-09	PRDM16
LIHC	100422968	0.12715	1	1	0	0.154704335365854	MIR4251
LIHC	27237	2.4651e-18	7.905	3.458	1.19282759360345	8.11023996702391e-18	ARHGEF16
LIHC	1953	9.7991e-09	2.702	2.067	0.386489285900237	2.08945545415687e-08	MEGF6
LIHC	693135	0.31796	1	1	0	0.333960092641331	MIR551A
LIHC	127262	0.30073	68.322	76.648	-0.165897939885084	0.332821210205214	TPRG1L
LIHC	49856	1e-20	15.856	7.337	1.11176667736461	3.65927012653585e-20	WRAP73
LIHC	7161	2.7665e-18	1.062	1	0.0867837661420666	9.08238581770319e-18	TP73
LIHC	148870	2.7484e-11	1	1	0	6.61379324650265e-11	CCDC27
LIHC	388588	0.11205	10.608	13.535	-0.351542206989738	0.137819497010417	SMIM1
LIHC	57470	4.6457e-14	21.166	17.82	0.248251314374333	1.26587870817971e-13	LRRC47
LIHC	9731	3.1816e-05	7.03	6.534	0.105558234521835	5.59788787584869e-05	CEP104
LIHC	1677	1.0905e-15	1.907	1.1	0.793801319900734	3.19574636510501e-15	DFFB
LIHC	339448	1e-20	19.961	14.016	0.510109318123572	3.65927012653585e-20	C1orf174
LIHC	100133612	1e-20	1.097	1	0.133563525741106	3.65927012653585e-20	LINC01134
LIHC	284661	0.1544	1	1	0	0.184617545541707	LINC01777
LIHC	55966	0.061126	1	1	0	0.0787518210227273	AJAP1
LIHC	100616421	0.16144	1	1	0	0.191622970673963	MIR4689
LIHC	261734	1.8233e-15	1.366	1	0.449957483628004	5.28425972403776e-15	NPHP4
LIHC	8514	0.00091362	7.533	6.556	0.200408674893197	0.00144708473408478	KCNAB2
LIHC	26038	0.31796	1	1	0	0.333960092641331	CHD5
LIHC	6146	1.257e-09	65.824	55.659	0.241998710320354	2.79841325449068e-09	RPL22
LIHC	388591	1e-20	4.205	1.799	1.22491061389102	3.65927012653585e-20	RNF207
LIHC	23463	1.5028e-19	19.029	14.067	0.435885063112049	5.21329471488178e-19	ICMT
LIHC	387509	1.1445e-08	2.688	1.496	0.845422962891124	2.43308281666134e-08	GPR153
LIHC	11332	4.0657e-19	34.089	21.798	0.645110507086872	1.3863119924812e-18	ACOT7
LIHC	54626	0.0019267	1	1	0	0.00296486248168428	HES2
LIHC	83715	0.15641	39.423	41.139	-0.0614691591500043	0.186864156388456	ESPN
LIHC	8718	1e-20	4.678	1.572	1.57329064409382	3.65927012653585e-20	TNFRSF25
LIHC	57449	1.0778e-20	2.017	1	1.01221108395087	3.93602144948756e-20	PLEKHG5
LIHC	79707	1e-20	4.296	2.793	0.621178419705463	3.65927012653585e-20	NOL9
LIHC	80835	0.22234	1	1	0	0.253968307287194	TAS1R1
LIHC	3104	3.7295e-17	16.126	12.13	0.410809076763237	1.162788171875e-16	ZBTB48
LIHC	9903	1e-20	18.016	7.569	1.25110412038277	3.65927012653585e-20	KLHL21
LIHC	148479	0.00043981	9.993	8.13	0.297662502433117	0.000713203473384803	PHF13
LIHC	90326	1e-20	13.945	7.107	0.972435329954287	3.65927012653585e-20	THAP3
LIHC	55735	7.5087e-10	12.594	9.771	0.366158446896251	1.69316984744039e-09	DNAJC11
LIHC	23261	2.0971e-16	8.316	7.024	0.243596913323012	6.34503918119788e-16	CAMTA1
LIHC	9341	2.5721e-15	45.182	35.017	0.367692644114943	7.39534342939481e-15	VAMP3
LIHC	8863	0.3643	4.511	5.48	-0.280728607128536	0.380329733689112	PER3
