Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
LUAD	102466751	1.7858e-10	4.103	1.723	1.25175645266759	5.2715396821192e-10	MIR6859-1
LUAD	102465909	4.5676e-05	1.168	1	0.22404027421793	9.09480042883945e-05	MIR6859-2
LUAD	400728	0.0063499	1	1	0	0.00972781284712675	FAM87B
LUAD	79854	1e-20	1.116	1	0.158337027167101	5.48805712878601e-20	LINC00115
LUAD	284593	0.0002882	1	1	0	0.000531582669866755	FAM41C
LUAD	100130417	8.8107e-06	2.768	2.017	0.456632859023763	1.8628599838725e-05	LINC02593
LUAD	148398	3.0635e-06	2.006	1.411	0.507603618014916	6.73070036474763e-06	SAMD11
LUAD	26155	1e-20	77.293	45.668	0.75915415392657	5.48805712878601e-20	NOC2L
LUAD	339451	1e-20	8.687	3.349	1.37512766148124	5.48805712878601e-20	KLHL17
LUAD	84069	1e-20	5.362	1	2.42277121932047	5.48805712878601e-20	PLEKHN1
LUAD	84808	1e-20	1.475	1	0.560714954474479	5.48805712878601e-20	PERM1
LUAD	57801	4.0368e-19	14.641	9.122	0.682592019691434	2.03042567366283e-18	HES4
LUAD	9636	1e-20	234.999	108.744	1.11171881585165	5.48805712878601e-20	ISG15
LUAD	375790	1.2294e-14	120.266	93.317	0.366017007925996	4.7355060145178e-14	AGRN
LUAD	401934	4.1253e-20	2.08	1.504	0.467778961350817	2.19219268240343e-19	RNF223
LUAD	54991	1e-20	14.261	7.389	0.948624115324168	5.48805712878601e-20	C1orf159
LUAD	254099	4.0776e-05	1	1	0	8.15410239569314e-05	LINC01342
LUAD	406984	0.0076577	1	1	0	0.0115737935643564	MIR200B
LUAD	406983	6.5944e-05	1.396	1	0.481298941547565	0.000129762840190712	MIR200A
LUAD	554210	1.4027e-13	4.985	2.562	0.960323028943912	5.06594958677686e-13	MIR429
LUAD	254173	0.00093119	1	2.538	-1.34369206917902	0.00160555713523132	TTLL10
LUAD	8784	1e-20	13.116	3.088	2.08658314912498	5.48805712878601e-20	TNFRSF18
LUAD	7293	2.2939e-09	11.333	7.248	0.644874952313935	6.30073321419768e-09	TNFRSF4
LUAD	51150	1e-20	201.827	153.893	0.391191577607271	5.48805712878601e-20	SDF4
LUAD	126792	1.2718e-12	22.624	18.733	0.272272066493559	4.32346043319097e-12	B3GALT6
LUAD	388581	2.4941e-14	1.635	1	0.709290635723358	9.41497403455285e-14	C1QTNF12
LUAD	118424	1e-20	53.321	40.211	0.407113622766156	5.48805712878601e-20	UBE2J2
LUAD	6339	1e-20	2.369	1.124	1.07563616301931	5.48805712878601e-20	SCNN1D
LUAD	116983	1e-20	26.57	14.583	0.865510687868131	5.48805712878601e-20	ACAP3
LUAD	102465434	0.29692	1	1	0	0.33355794344473	MIR6726
LUAD	126789	1e-20	18.834	8.565	1.13681428333191	5.48805712878601e-20	PUSL1
LUAD	54973	1e-20	95.912	67.216	0.512906637939617	5.48805712878601e-20	INTS11
LUAD	80772	1e-20	39.856	28.396	0.489109207757017	5.48805712878601e-20	CPTP
LUAD	83756	1e-20	1.968	1	0.976730220677153	5.48805712878601e-20	TAS1R3
