Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
LUSC	102466751	6.6771e-10	4.326	1.873	1.20768276571893	1.72878111901756e-09	MIR6859-1
LUSC	102465909	7.7256e-13	1.124	1	0.168642035558839	2.3596237530463e-12	MIR6859-2
LUSC	400728	0.036899	1	1	0	0.0522998580673536	FAM87B
LUSC	79854	1e-20	1.085	1	0.117695042669755	4.80797101449275e-20	LINC00115
LUSC	284593	0.0043314	1	1	0	0.00689715907390414	FAM41C
LUSC	100130417	0.02733	1.169	2.565	-1.13368389596276	0.0394760833653477	LINC02593
LUSC	148398	0.032272	1	1.898	-0.924479992359022	0.0461183357405296	SAMD11
LUSC	26155	1e-20	91.408	47.971	0.930157920865045	4.80797101449275e-20	NOC2L
LUSC	339451	1e-20	7.781	3.101	1.32722205372502	4.80797101449275e-20	KLHL17
LUSC	84069	1e-20	4.431	1	2.14763232682386	4.80797101449275e-20	PLEKHN1
LUSC	84808	1e-20	1.179	1	0.237563718317676	4.80797101449275e-20	PERM1
LUSC	57801	1.803e-20	15.617	8.539	0.870978309530942	8.53417477968947e-20	HES4
LUSC	9636	0.046687	161.083	118.973	0.437170044087139	0.0651578837540213	ISG15
LUSC	375790	6.25e-13	104.773	79.968	0.389772270638291	1.91828231292517e-12	AGRN
LUSC	401934	2.2052e-07	1.292	1.347	-0.0601437807683782	4.88099556514914e-07	RNF223
LUSC	54991	1e-20	14.856	6.986	1.08850717254056	4.80797101449275e-20	C1orf159
LUSC	254099	0.002841	1	1	0	0.00460881051344743	LINC01342
LUSC	406984	1.0437e-10	1	1	0	2.82651e-10	MIR200B
LUSC	406983	1.4199e-10	1.056	1	0.0786098346963665	3.82237757756563e-10	MIR200A
LUSC	554210	1e-20	4.664	2.044	1.19017259226288	4.80797101449275e-20	MIR429
LUSC	254173	0.00042468	1	3.019	-1.59407075685154	0.00074203052590814	TTLL10
LUSC	8784	1e-20	34.349	3.45	3.31559983157294	4.80797101449275e-20	TNFRSF18
LUSC	7293	0.55506	7.706	9.186	-0.253454597561394	0.578525158935502	TNFRSF4
LUSC	51150	6.2598e-16	200.24	168.313	0.25058358565509	2.26305814423077e-15	SDF4
