Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
PAAD	102466751	0.65153	5.502	4.847	0.18286405714981	0.797654731129748	MIR6859-1
PAAD	102465909	0.20704	1	4.094	-2.03351110236132	0.603752703774416	MIR6859-2
PAAD	400728	0.31868	1	1	0	0.635694871382637	FAM87B
PAAD	79854	0.60233	1.246	1.567	-0.330701111448578	0.767192041575773	LINC00115
PAAD	284593	0.31868	1	1	0	0.635694871382637	FAM41C
PAAD	100130417	0.30394	4.962	11.017	-1.15073778190076	0.635694871382637	LINC02593
PAAD	148398	0.00044409	5.16	9.445	-0.872179730965116	0.0107382152009744	SAMD11
PAAD	26155	0.1721	61.487	57.02	0.10881337901259	0.56512201786305	NOC2L
PAAD	339451	0.55122	8.08	9.148	-0.179101072772515	0.736596454196675	KLHL17
PAAD	84069	0.024176	6.13	4.295	0.513228942552318	0.192640876404494	PLEKHN1
PAAD	84808	0.00075976	1.885	1.204	0.646729131396325	0.0160454845957447	PERM1
PAAD	57801	0.82038	24.212	28.061	-0.212844166529572	0.901551703834874	HES4
PAAD	9636	0.070631	205.684	262.344	-0.351030222771491	0.369088342195315	ISG15
PAAD	375790	0.95406	113.34	145.073	-0.356121932239542	0.97603705849008	AGRN
PAAD	401934	2.5743e-06	2.386	1	1.25459404303314	0.000145598300854701	RNF223
PAAD	54991	0.5637	12.958	15.114	-0.22204246498764	0.743559627906977	C1orf159
PAAD	254099	1.7534e-06	1	1	0	0.000103905960597015	LINC01342
PAAD	406984	0.0019145	2.65	1.219	1.12029423371771	0.0320620652649285	MIR200B
PAAD	406983	0.0019188	4.755	2.945	0.691177707030103	0.0320620652649285	MIR200A
PAAD	554210	0.0082981	15.114	8.846	0.772788380556744	0.0934925545970488	MIR429
PAAD	254173	4.3955e-06	1	1	0	0.000229630173684211	TTLL10
PAAD	8784	0.22694	5.679	11.361	-1.00038101018071	0.623947480620155	TNFRSF18
PAAD	7293	0.05754	8.57	26.424	-1.62448176528566	0.328336901408451	TNFRSF4
PAAD	51150	0.74874	205.666	197.019	0.0619685460141775	0.857950157575758	SDF4
PAAD	126792	0.26313	23.485	27.456	-0.225381864354396	0.635694871382637	B3GALT6
PAAD	388581	0.0025541	5.667	2.537	1.15946168304559	0.0394276774494557	C1QTNF12
PAAD	118424	0.14481	43.347	49.1	-0.179790875034964	0.528255810363837	UBE2J2
PAAD	6339	0.52861	3.406	3.625	-0.0899025601111166	0.723971419110038	SCNN1D
PAAD	116983	0.24005	27.456	34.061	-0.310999333903193	0.635591870005328	ACAP3
PAAD	102465434	0.31868	1	1	0	0.635694871382637	MIR6726
PAAD	126789	0.14296	14.003	12.425	0.172490091201644	0.525150593894542	PUSL1
PAAD	54973	0.60225	94.115	94.382	-0.00408706593247477	0.767192041575773	INTS11
PAAD	80772	0.22191	34.276	29.265	0.228022478481422	0.618611957315361	CPTP
PAAD	83756	0.73655	1	1	0	0.85066801628854	TAS1R3
PAAD	1855	0.02303	59.219	38.12	0.635512009443535	0.186913965658217	DVL1
PAAD	54587	0.70549	183.983	254.154	-0.466130469157675	0.832057841658253	MXRA8
PAAD	54998	0.37851	205.028	180.615	0.182903234292351	0.674541258813414	AURKAIP1
PAAD	81669	0.37017	82.076	104.322	-0.346011105878638	0.670127196790078	CCNL2
PAAD	148413	0.26171	23.017	28.024	-0.283963086158159	0.635694871382637	MRPL20-AS1
PAAD	55052	0.7766	147.288	149.084	-0.0174855385229492	0.875892525849335	MRPL20
PAAD	441869	0.4538	17.108	30.907	-0.853262512908737	0.68552995282301	ANKRD65
PAAD	643965	0.26667	1	1	0	0.635694871382637	TMEM88B
PAAD	64856	0.51446	90.622	143.219	-0.660289662782748	0.714399826524902	VWA1
PAAD	219293	0.39014	3.09	2.863	0.110079167792384	0.674541258813414	ATAD3C
PAAD	83858	0.73619	12.843	13.232	-0.0430488982531987	0.850590378302875	ATAD3B
PAAD	55210	0.042371	20.977	18.13	0.210429442318533	0.274436897879282	ATAD3A
PAAD	339453	0.58431	2.349	2.198	0.095855327062966	0.755943875928581	TMEM240
PAAD	29101	0.64118	218.716	220.229	-0.00994569361366562	0.790995858811832	SSU72
PAAD	643988	0.85784	10.843	12.832	-0.242982075607748	0.921528121212121	FNDC10
PAAD	142678	0.45971	26.326	29.529	-0.165644166970738	0.688559145918213	MIB2
PAAD	8510	0.91413	9.566	9.712	-0.0218526302693765	0.955473530247986	MMP23B
PAAD	984	0.5888	29.052	28.189	0.0435051857167344	0.758671876419809	CDK11B
PAAD	728661	0.33461	12.832	18.627	-0.537649290624904	0.648255852444618	SLC35E2B
PAAD	728642	0.51953	1.083	1.41	-0.380661919677829	0.718140744865994	CDK11A
PAAD	9906	0.29153	7.152	12.009	-0.747697379925377	0.635694871382637	SLC35E2A
PAAD	65220	0.32741	50.356	54.093	-0.103278223681871	0.642775249208861	NADK
PAAD	2782	0.17098	326.278	348.472	-0.0949410251914147	0.564117493767658	GNB1
PAAD	163688	0.40156	1	1.764	-0.818850560895434	0.675096151617976	CALML6
PAAD	339456	0.64348	3.686	3.753	-0.0259882192562629	0.792515880637757	TMEM52
PAAD	85452	0.31868	1	1	0	0.635694871382637	CFAP74
PAAD	2563	0.90986	3.039	4.294	-0.498725516336479	0.953268984589402	GABRD
PAAD	5590	0.079128	14.906	12.247	0.283464771885283	0.39476778313253	PRKCZ
PAAD	100506504	0.91766	4.148	3.824	0.117333370832477	0.957247980663129	PRKCZ-AS1
PAAD	199990	0.84545	44.844	49.684	-0.14786635835091	0.915091319603356	FAAP20
PAAD	6497	0.32835	40.474	45.865	-0.180398203756868	0.643768639146751	SKI
PAAD	79906	0.41177	5.309	5.026	0.0790294702430759	0.67513920755024	MORN1
PAAD	11079	0.15461	79.917	74.476	0.101726837015253	0.545365621890547	RER1
PAAD	5192	0.56053	9.133	9.576	-0.0683343189939355	0.74183650179976	PEX10
PAAD	9651	0.95863	5.162	4.8	0.104895735598089	0.978845939718136	PLCH2
