Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
PCPG	102466751	1.6628e-05	5.718	3.781	0.596742770643864	0.000102827976996805	MIR6859-1
PCPG	102465909	0.91083	1.266	1	0.340277404766254	0.928433592079625	MIR6859-2
PCPG	81399	0.31867	1	1	0	0.395598801949718	OR4F16
PCPG	400728	0.182	1	1.984	-0.988412025724788	0.280097956587421	FAM87B
PCPG	79854	0.21561	1	2.621	-1.39011735366633	0.315875504087193	LINC00115
PCPG	100130417	2.7696e-13	56.799	4.923	3.52825588526037	3.49695874755382e-12	LINC02593
PCPG	148398	7.6675e-19	34.423	2.095	4.03835068618277	1.37673589981447e-17	SAMD11
PCPG	26155	0.31289	59.2	58.079	0.027580562525054	0.395598801949718	NOC2L
PCPG	339451	0.00042939	10.541	4.675	1.17297346845673	0.00211428970745357	KLHL17
PCPG	84069	0.078479	1	1	0	0.157289044522675	PLEKHN1
PCPG	84808	0.018886	1	1	0	0.0554378853503185	PERM1
PCPG	57801	0.021235	14.218	2.361	2.59024859331249	0.060632048974775	HES4
PCPG	9636	6.34e-11	104.839	48.904	1.10015112046351	6.62619006479482e-10	ISG15
PCPG	375790	1e-20	29.483	5.375	2.45554667143359	2.02893081761006e-19	AGRN
PCPG	54991	0.064246	11.299	10.792	0.0662328414645901	0.136398549522869	C1orf159
PCPG	254099	0.15595	1	1	0	0.253129408805031	LINC01342
PCPG	406983	0.31867	1	1	0	0.395598801949718	MIR200A
PCPG	554210	0.16658	1	1	0	0.263333282155982	MIR429
PCPG	254173	0.12036	1	1	0	0.210831507692308	TTLL10
PCPG	8784	0.9861	1	1	0	0.989166231343284	TNFRSF18
PCPG	7293	1.0097e-18	9.66	1.276	2.92039485995827	1.80292926199262e-17	TNFRSF4
PCPG	51150	0.11894	177.437	225.663	-0.346863013175245	0.209133389030149	SDF4
PCPG	126792	0.02026	21.899	17.264	0.343098221897921	0.0587054730538922	B3GALT6
PCPG	388581	4.1295e-16	1.437	1	0.523060061795249	6.27398759811617e-15	C1QTNF12
