Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
PRAD	102466751	1.3172e-12	3.706	1.333	1.47518610093829	1.9696907097681e-11	MIR6859-1
PRAD	102465909	0.00048364	1	1	0	0.00141813084745763	MIR6859-2
PRAD	81399	0.31779	1	1	0	0.375138877732165	OR4F16
PRAD	400728	1.2946e-05	1	1	0	5.26323909056171e-05	FAM87B
PRAD	79854	1.9785e-15	2.328	1	1.2190910582462	4.43163173684211e-14	LINC00115
PRAD	284593	0.31779	1	1	0	0.375138877732165	FAM41C
PRAD	100130417	0.089471	10.082	19.182	-0.927971290492312	0.135467013590437	LINC02593
PRAD	148398	0.00053801	4.524	9.463	-1.0646986959913	0.00156248325235431	SAMD11
PRAD	26155	4.953e-14	89.659	67.672	0.405889381517085	9.0623290627687e-13	NOC2L
PRAD	339451	1e-20	7.566	3.747	1.01379479872026	4.91431870669746e-19	KLHL17
PRAD	84069	2.4006e-07	3.605	2.015	0.839219420712855	1.38807755501223e-06	PLEKHN1
PRAD	84808	0.023142	2.265	1.484	0.610019958312794	0.0432951132407245	PERM1
PRAD	57801	1e-20	38.34	16.857	1.18550253087016	4.91431870669746e-19	HES4
PRAD	9636	4.197e-10	87.914	62.236	0.498343588697618	3.9798557486631e-09	ISG15
PRAD	375790	0.015755	52.303	43.368	0.270262787036196	0.0312151438547486	AGRN
PRAD	401934	0.44743	1.497	1.564	-0.0631662912489356	0.50244672383767	RNF223
PRAD	54991	5.7327e-09	12.321	9.343	0.399161580096458	4.45692814395323e-08	C1orf159
PRAD	254099	0.026279	1	1	0	0.0482601916803314	LINC01342
PRAD	406984	0.86118	1.405	1.405	0	0.882879611678551	MIR200B
PRAD	406983	0.76974	2.654	2.16	0.297137058319362	0.803497545253863	MIR200A
PRAD	554210	0.048828	7.342	4.616	0.669529890454065	0.0809062570071629	MIR429
PRAD	254173	0.021915	1	1	0	0.0413082899282487	TTLL10
PRAD	8784	5.2849e-10	4.123	2.768	0.57485051825134	4.91685272608126e-09	TNFRSF18
PRAD	7293	0.078578	2.946	2.417	0.285539957270267	0.121102430795973	TNFRSF4
PRAD	51150	2.0491e-07	263.579	221.856	0.248611861040387	1.20283583172414e-06	SDF4
PRAD	126792	1e-20	35.067	19.432	0.851679617476014	4.91431870669746e-19	B3GALT6
PRAD	388581	6.2995e-13	1	1	0	9.86365419426048e-12	C1QTNF12
PRAD	118424	1.1433e-18	55.901	44.55	0.327448659588474	4.09567015151515e-17	UBE2J2
PRAD	6339	3.6583e-18	4.459	1.824	1.28961447014916	1.20689869302326e-16	SCNN1D
PRAD	116983	0.00034783	19.806	17.054	0.215827382661215	0.00105194351478113	ACAP3
PRAD	102465434	0.2892	1	1	0	0.355592673061366	MIR6726
PRAD	126789	9.2024e-09	15.99	13.122	0.285182312598445	6.93160600353982e-08	PUSL1
PRAD	54973	3.587e-11	128.617	99.322	0.3728961262393	4.16409018003273e-10	INTS11
PRAD	80772	2.7813e-06	47.58	37.446	0.345543654237135	1.28463821792924e-05	CPTP
PRAD	83756	0.13071	1	1	0	0.186870336603064	TAS1R3
PRAD	1855	1e-20	72.636	48.307	0.588452496732759	4.91431870669746e-19	DVL1
PRAD	54587	0.086355	45.826	39.563	0.212014535590051	0.13145060769726	MXRA8
PRAD	54998	1.2942e-16	258.215	195.192	0.40367888601507	3.51266349489796e-15	AURKAIP1
PRAD	81669	6.0902e-16	74.431	37.55	0.987090711328295	1.47182567877412e-14	CCNL2
