Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
READ	102466751	2.0386e-12	4.392	1.087	2.01452611397789	5.1756852892562e-11	MIR6859-1
READ	79501	0.31991	1	1	0	0.390088721884096	OR4F5
READ	102465909	1.2879e-06	1	1	0	1.05084430278884e-05	MIR6859-2
READ	400728	0.16347	1	1	0	0.240047724665392	FAM87B
READ	79854	2.044e-06	1.102	1	0.140124223909071	1.59572249047014e-05	LINC00115
READ	284593	0.29676	1	1	0	0.384579928285172	FAM41C
READ	100130417	0.10165	1.8	2.808	-0.641546029087524	0.164438546603476	LINC02593
READ	148398	0.30716	1.74	2.552	-0.552541023028779	0.390088721884096	SAMD11
READ	26155	0.00010173	103.25	57.031	0.85632354692121	0.000513581857025472	NOC2L
READ	339451	1.2075e-13	5.642	2.364	1.25497663040804	3.81106849315068e-12	KLHL17
READ	84069	4.1936e-15	2.829	1	1.50029217673417	1.84478365632458e-13	PLEKHN1
READ	84808	0.00021665	1	1	0	0.000988683535528596	PERM1
READ	57801	0.16704	7.395	5.53	0.41927066686436	0.244065103448276	HES4
READ	9636	0.00091664	101.559	69.844	0.540110004385316	0.00345582092043363	ISG15
READ	375790	2.899e-06	58.557	34.092	0.780408405810071	2.19352906403941e-05	AGRN
READ	401934	0.19557	3.021	2.994	0.0129519626695239	0.275993127631881	RNF223
READ	54991	1.3129e-09	15.636	9.152	0.772712532510901	1.93285725239617e-08	C1orf159
READ	254099	2.6629e-07	1	1	0	2.54445685847589e-06	LINC01342
READ	406984	2.8103e-07	2.582	1	1.3684890006451	2.67835830403309e-06	MIR200B
READ	406983	4.8728e-06	5.508	1.986	1.47166293660659	3.47717574912892e-05	MIR200A
READ	554210	2.929e-05	20.502	5.375	1.93142799378624	0.000171879426934097	MIR429
READ	254173	0.032102	1	1	0	0.0646106206595326	TTLL10
READ	8784	0.075748	4.572	3.996	0.19426882042206	0.129889955902875	TNFRSF18
READ	7293	3.513e-06	5.983	3.517	0.766523728029649	2.59733718411552e-05	TNFRSF4
READ	51150	0.023749	198.786	259.084	-0.382203768066408	0.0507056142708213	SDF4
READ	126792	2.2094e-06	19.766	12.073	0.711236732154761	1.71251727502103e-05	B3GALT6
READ	388581	0.0050338	5.503	17.465	-1.66617640895287	0.0143360632880099	C1QTNF12
READ	118424	0.083568	46.103	49.644	-0.106758731097095	0.140579116181437	UBE2J2
READ	6339	0.035796	1	1	0	0.0706415280513919	SCNN1D
READ	116983	0.0054253	21.304	18.289	0.22014813962876	0.0152577249923711	ACAP3
READ	102465434	0.30681	1	1	0	0.390088721884096	MIR6726
READ	126789	3.5769e-05	16.186	9.418	0.781253872827829	0.000205387603738318	PUSL1
READ	54973	0.014806	91.95	78.026	0.236894632447282	0.0344924408493428	INTS11
READ	80772	0.0084697	36.349	56.841	-0.645016261441642	0.0219260548314607	CPTP
READ	83756	0.00074045	1.35	1.135	0.250267109759916	0.00287446807076664	TAS1R3
READ	1855	0.00064656	54.99	42.605	0.368146535680434	0.00256067767941556	DVL1
READ	54587	0.053487	43.758	44.037	-0.00916938940431157	0.097833917237273	MXRA8
READ	54998	0.52392	231.387	252.537	-0.126186965309324	0.585976543689321	AURKAIP1
READ	81669	2.0153e-09	63.82	27.39	1.22035934257393	2.87730515879163e-08	CCNL2
READ	148413	1.6022e-05	25.384	17.681	0.52171955354822	0.000100997778385773	MRPL20-AS1
READ	55052	0.58143	160.486	161.233	-0.00669960513520983	0.640312944972217	MRPL20
READ	441869	0.0064238	1.73	9.835	-2.50715301464181	0.0175204915063628	ANKRD65
READ	643965	0.31991	1	1	0	0.390088721884096	TMEM88B
READ	64856	0.014775	46.055	39.391	0.225491749817506	0.0344463445484442	VWA1
READ	219293	2.7785e-08	1.446	1	0.532067552289031	3.22705179584121e-07	ATAD3C
READ	83858	2.4809e-05	16.008	6.892	1.21579846568079	0.000148178706416073	ATAD3B
READ	55210	0.00011678	39.282	19.06	1.04332026551237	0.000579093075060533	ATAD3A
READ	339453	0.017727	1	2.69	-1.4276061727819	0.0399296179885128	TMEM240
READ	29101	0.41854	240.452	231.281	0.0561021743363274	0.485752021156026	SSU72
READ	643988	1.0421e-06	9.39	4.388	1.09756163213794	8.69533146220009e-06	FNDC10
READ	142678	0.069556	21.166	20.705	0.0317694485263765	0.121418334311961	MIB2
READ	8510	0.13363	2.259	3.852	-0.769923432450375	0.204965312473995	MMP23B
