Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
THCA	102466751	0.9976	2.74	2.749	-0.00473101366506404	0.998056985799359	MIR6859-1
THCA	102465909	0.75204	1	1	0	0.780511021701252	MIR6859-2
THCA	81399	0.31779	1	1	0	0.364949768637532	OR4F16
THCA	400728	0.95496	1	1	0	0.961367158002561	FAM87B
THCA	79854	0.00071061	1.067	1.022	0.0621649798868034	0.00143540101109741	LINC00115
THCA	284593	0.071758	1	1	0	0.104217175114526	FAM41C
THCA	100130417	1e-20	7.705	2.888	1.41572421451498	1.62178217821782e-19	LINC02593
THCA	148398	3.0261e-19	6.343	2.154	1.55814709228866	4.18880433802817e-18	SAMD11
THCA	26155	0.037323	65.157	63.999	0.0258708170841969	0.0576655312057853	NOC2L
THCA	339451	1.1557e-14	5.694	3.609	0.657843349845033	9.43373720930233e-14	KLHL17
THCA	84069	1e-20	7.079	1	2.82354557543035	1.62178217821782e-19	PLEKHN1
THCA	84808	1e-20	1.853	1	0.889862881365179	1.62178217821782e-19	PERM1
THCA	57801	4.8205e-17	14.608	4.497	1.69972388131521	5.26106318711827e-16	HES4
THCA	9636	0.0010471	105.601	58.781	0.845201688645191	0.00206997863823796	ISG15
THCA	375790	1e-20	150.446	84.07	0.839582771150193	1.62178217821782e-19	AGRN
THCA	401934	1.102e-06	1	1	0	3.16217693430657e-06	RNF223
THCA	54991	0.48145	9.378	9.729	-0.0530112454561419	0.525433221919938	C1orf159
THCA	254099	0.10431	1	1	0	0.145774430145752	LINC01342
THCA	406984	0.00016675	1	1	0	0.000363334220152976	MIR200B
THCA	406983	0.034032	1.819	2.33	-0.357184411890156	0.0530520256959315	MIR200A
THCA	554210	0.004159	4.552	4.95	-0.120927967547753	0.00758483058081277	MIR429
THCA	254173	2.3556e-05	1	1	0	5.72402937322289e-05	TTLL10
THCA	8784	0.0067824	4.321	1.359	1.66881977482234	0.011951115812119	TNFRSF18
THCA	7293	7.5898e-05	8.458	3.174	1.41401443219362	0.000173068571693735	TNFRSF4
THCA	51150	0.23974	219.902	225.225	-0.0345062501092838	0.300454567712318	SDF4
THCA	126792	1.9269e-09	29.738	25.016	0.249456499238458	7.91208406099854e-09	B3GALT6
THCA	388581	1.343e-15	2.83	1	1.50080205305716	1.22610348351138e-14	C1QTNF12
THCA	118424	0.86415	50.548	51.898	-0.038024931250716	0.880728632168412	UBE2J2
THCA	6339	4.6797e-06	2.883	2.31	0.319677985191487	1.24001325424643e-05	SCNN1D
THCA	116983	2.615e-05	18.151	16.126	0.170660406139789	6.32076242006886e-05	ACAP3
THCA	102465434	0.10748	1	1	0	0.149704285714286	MIR6726
THCA	126789	8.2236e-18	11.312	7.985	0.502489712510804	9.74340455696203e-17	PUSL1
THCA	54973	2.0853e-05	115.098	103.101	0.15880443890201	5.09872581166812e-05	INTS11
THCA	80772	1e-20	45.597	29.405	0.632877416620432	1.62178217821782e-19	CPTP
THCA	83756	1.4564e-08	1.278	1	0.353887836284907	5.32892747580045e-08	TAS1R3
THCA	1855	1e-20	93.531	52.097	0.844244314960188	1.62178217821782e-19	DVL1
THCA	54587	1e-20	342.991	73.557	2.22123617474813	1.62178217821782e-19	MXRA8
THCA	54998	0.046309	216.479	201.014	0.106931095951019	0.0701703441258094	AURKAIP1
THCA	81669	3.0975e-08	81.175	60.567	0.422503525811263	1.08258285917496e-07	CCNL2
THCA	148413	0.60576	35.2	36.4	-0.0483630215613988	0.645181173665673	MRPL20-AS1
THCA	55052	0.010531	186.153	202.819	-0.123703943220082	0.0180201389396709	MRPL20
THCA	441869	1.375e-20	10.225	4.902	1.06065845384963	2.20448613376835e-19	ANKRD65
THCA	643965	2.4995e-11	1	1	0	1.30630608880617e-10	TMEM88B
THCA	64856	1e-20	61.78	29.097	1.0862694569466	1.62178217821782e-19	VWA1
THCA	219293	0.96156	13.285	14.005	-0.0761437555839998	0.967011644326205	ATAD3C
THCA	83858	0.29081	8.683	10.224	-0.235694252445339	0.353438530884808	ATAD3B
THCA	55210	0.005975	20.174	19.021	0.0849040670040641	0.0106398782608696	ATAD3A
THCA	339453	0.0033279	2.688	2.766	-0.0412680183717338	0.00613977871222076	TMEM240
THCA	29101	7.2131e-12	285.149	355.302	-0.317329836369108	4.05783324556382e-11	SSU72
