Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
THYM	102466751	0.042308	6.557	17.639	-1.42766097316943	0.216963813432836	MIR6859-1
THYM	102465909	0.63127	1.517	2.248	-0.567420949973893	0.780219583761562	MIR6859-2
THYM	400728	0.50378	1	1.206	-0.270229907237998	0.737788833709556	FAM87B
THYM	79854	0.94538	1.528	1.731	-0.17996118133089	0.96822571884814	LINC00115
THYM	284593	0.0052545	1	1	0	0.0427146948457964	FAM41C
THYM	100130417	0.82205	1	3.273	-1.71061360238268	0.893399676927422	LINC02593
THYM	148398	0.57679	1	2.683	-1.42384705459843	0.75652411724608	SAMD11
THYM	26155	0.24322	75.946	86.299	-0.184369860678663	0.594635148011688	NOC2L
THYM	339451	0.23544	10.322	19.465	-0.915159808950596	0.586572710086754	KLHL17
THYM	84069	0.00069986	1	1	0	0.00788318068461088	PLEKHN1
THYM	84808	4.8679e-05	1	1.071	-0.0989584800881688	0.000785765636744966	PERM1
THYM	57801	0.13714	31.168	26.683	0.224144703049084	0.453405707417582	HES4
THYM	9636	0.044317	279.837	174.296	0.683047267240793	0.223747939385988	ISG15
THYM	375790	0.023929	42.475	33.243	0.353563364043004	0.142367931045145	AGRN
THYM	401934	0.26973	1	1	0	0.61229904733433	RNF223
THYM	54991	0.53242	14.024	17.429	-0.31359189507922	0.742440317345835	C1orf159
THYM	254099	0.31934	1	1	0	0.61229904733433	LINC01342
THYM	406984	0.85749	1	3.062	-1.6144742828377	0.914374035136333	MIR200B
THYM	406983	0.60007	1.668	8.306	-2.31603458298013	0.76638379147863	MIR200A
THYM	554210	0.93631	5.493	8.757	-0.672842419704931	0.96319186858426	MIR429
THYM	254173	0.56026	1	1.303	-0.381837083906047	0.750484729880256	TTLL10
THYM	8784	0.674	7.479	14.059	-0.910576692208957	0.803347209316732	TNFRSF18
THYM	7293	0.36216	9.292	18.332	-0.980303131565505	0.652098124649073	TNFRSF4
THYM	51150	0.62963	159.835	194.972	-0.286683594701984	0.779441178286596	SDF4
THYM	126792	0.0062983	34.592	24.228	0.513763111682021	0.0496458788611225	B3GALT6
THYM	388581	2.3518e-09	5.32	3.956	0.427383819629441	9.94527116483517e-08	C1QTNF12
THYM	118424	0.45331	70.907	79.148	-0.158624836604468	0.725550375946103	UBE2J2
THYM	6339	0.31862	6.514	8.921	-0.453661718458667	0.61229904733433	SCNN1D
THYM	116983	0.23481	44.697	74.213	-0.731493924999673	0.585609748541802	ACAP3
THYM	126789	0.49189	18.61	15.157	0.296093823881449	0.737788833709556	PUSL1
THYM	54973	0.45097	145.219	163.166	-0.168110241137515	0.724424694047917	INTS11
THYM	80772	0.00067933	34.046	42.488	-0.319570125855201	0.00769334227781048	CPTP
THYM	83756	0.057986	1	1.517	-0.601221085584946	0.268688475686086	TAS1R3
THYM	1855	0.55548	37.96	50.392	-0.408714723976866	0.749391285844493	DVL1
THYM	54587	0.8316	25.105	108.645	-2.11357515101662	0.899192463483146	MXRA8
THYM	54998	0.42346	274.486	278.994	-0.0235015287419385	0.704765492604446	AURKAIP1
THYM	81669	0.27353	112.772	181.797	-0.688919484994669	0.61229904733433	CCNL2
THYM	148413	0.42588	37.836	47.698	-0.33416919874946	0.706227448073774	MRPL20-AS1
THYM	55052	0.56769	211.486	206.074	0.0373996686183499	0.752422903492457	MRPL20
THYM	441869	0.049685	70.393	29.422	1.25853665287856	0.241900072115385	ANKRD65
THYM	643965	0.00056822	1	1	0	0.00660611541993958	TMEM88B
THYM	64856	0.81442	20.645	21.08	-0.0300824484610375	0.88881175429641	VWA1
THYM	219293	9.5633e-16	8.954	2.111	2.08460573955639	1.35299599485294e-13	ATAD3C
THYM	83858	0.3754	17.728	21.508	-0.278843590226279	0.664568424392936	ATAD3B
THYM	55210	0.20191	33.729	27.013	0.320335674806564	0.5461533778465	ATAD3A
THYM	339453	0.53372	1.793	3.078	-0.779617743459835	0.742440317345835	TMEM240
THYM	29101	0.13997	288.914	313.268	-0.116757292698231	0.457631736618522	SSU72
THYM	643988	0.026146	2.914	2.318	0.330120311058041	0.152354689884918	FNDC10
THYM	142678	0.079417	46.837	74.226	-0.664275953457385	0.33010639382156	MIB2
THYM	8510	0.61815	2.825	7.521	-1.41267362936518	0.774791489153801	MMP23B
THYM	984	0.31957	38.031	57.245	-0.589973813960728	0.612556920701335	CDK11B
THYM	728661	0.25402	18.722	46.484	-1.31199965882632	0.607079719289529	SLC35E2B
THYM	728642	0.43285	1.749	3.433	-0.972939568035604	0.710801984296322	CDK11A
THYM	9906	3.3194e-07	14.053	37.576	-1.41893335238205	8.97030553370786e-06	SLC35E2A
THYM	65220	0.39754	33.764	65.338	-0.952436465121522	0.684357800841013	NADK
THYM	2782	0.0035606	278.621	336.36	-0.271702150505938	0.0310937702813067	GNB1
THYM	163688	0.17263	6.47	4.321	0.582400481290136	0.507121212028698	CALML6
THYM	339456	0.77535	1.752	2.846	-0.699932886925309	0.865928758488595	TMEM52
THYM	85452	0.16754	1	1	0	0.499788703875969	CFAP74
THYM	2563	0.00014578	1	1.094	-0.12961273813047	0.00202963312590449	GABRD
THYM	5590	0.015072	15.514	7.948	0.964906929057714	0.0994228231665524	PRKCZ
THYM	100506504	0.85372	4.953	6.391	-0.367739066407412	0.911870018874209	PRKCZ-AS1
THYM	199990	0.22621	77.319	80.216	-0.0530670487612322	0.575958120042306	FAAP20
THYM	6497	0.61677	33.782	63.906	-0.919696646412023	0.774373348776509	SKI
THYM	79906	0.98791	9.205	10.578	-0.200577253804069	0.992902329468296	MORN1
THYM	11079	0.053417	64.043	81.092	-0.340518704357369	0.25421629903537	RER1
THYM	5192	0.68516	8.82	11.13	-0.335603031784439	0.810972167814961	PEX10
THYM	9651	0.12047	9.368	12.3	-0.39284533461275	0.42211826174008	PLCH2
THYM	55229	0.10286	28.64	34.676	-0.275905995548387	0.386397746973838	PANK4
THYM	388585	0.0647	1	1	0	0.289308087380897	HES5
THYM	8764	0.48351	168.884	168.951	-0.000572235375297622	0.737788833709556	TNFRSF14
THYM	100996583	0.78652	1.832	3.173	-0.792428017820694	0.872394726465671	AL139246.3
THYM	127281	0.70728	17.97	18.456	-0.0384995002856785	0.824424455079663	PRXL2B
THYM	79258	0.019137	1	1	0	0.119589157843456	MMEL1
THYM	100287898	3.6088e-05	1.179	3.114	-1.40120522609927	0.000602228281006071	TTC34
THYM	440556	0.64711	1	2.753	-1.46100460993347	0.789439735607406	PRDM16-DT
THYM	63976	0.63414	1	1.664	-0.734655433479005	0.781527806517703	PRDM16
THYM	27237	0.0039804	7.59	2.621	1.53398253197441	0.0341504180846325	ARHGEF16
THYM	1953	0.70294	12.084	24.494	-1.01933030370823	0.82155552086497	MEGF6
THYM	127262	0.67193	72.564	90.603	-0.320304836016322	0.802072407097215	TPRG1L
THYM	49856	0.95263	54.38	55.44	-0.0278511061124535	0.972802984290415	WRAP73
THYM	7161	0.17511	26.931	15.335	0.81243963428016	0.510431496516207	TP73
THYM	148870	0.75473	1.923	4.208	-1.12977594195241	0.854170927004294	CCDC27
THYM	388588	2.9405e-05	40.064	10.595	1.91892287967309	0.000502470341918295	SMIM1
THYM	57470	1.1773e-07	52.766	44.82	0.235465973324205	3.51745796583851e-06	LRRC47
THYM	9731	0.0032742	16.38	21.547	-0.395551659137797	0.0290022230450782	CEP104
THYM	1677	0.64452	7.033	7.997	-0.185318670588984	0.78780295642231	DFFB
THYM	339448	0.44317	47.556	51.834	-0.124271356826293	0.719173930046355	C1orf174
THYM	100133612	1.0887e-05	1	1	0	0.00020740273960396	LINC01134
THYM	55966	0.26545	1	1.058	-0.0813396274519388	0.61229904733433	AJAP1
THYM	100616421	0.55524	1	1.132	-0.178873958169795	0.749391285844493	MIR4689
THYM	261734	0.1508	8.491	11.999	-0.498907798608752	0.477227434210526	NPHP4
THYM	8514	0.316	42.484	81.172	-0.934062553832225	0.61229904733433	KCNAB2
THYM	26038	1.4228e-08	1	1	0	5.16530090566038e-07	CHD5
THYM	6146	0.12798	199.328	152.153	0.389621602905191	0.4363316070163	RPL22
THYM	388591	0.53355	4.743	5.367	-0.178316019693537	0.742440317345835	RNF207
THYM	23463	0.46432	41.263	52.582	-0.349720301845575	0.733586813033486	ICMT
THYM	390992	0.92333	1	2.796	-1.48336436071335	0.955838884704363	HES3
THYM	387509	0.62333	6.721	14.057	-1.06454092299087	0.777104610751295	GPR153
THYM	11332	0.5363	89.552	76.778	0.222032673120606	0.74251075749946	ACOT7
THYM	54626	0.00019303	1	1	0	0.00261004232607168	HES2
THYM	83715	0.003208	5.661	3.002	0.915132946700913	0.0285113404618938	ESPN
THYM	8718	0.45229	19.858	43.514	-1.13175931286467	0.725192071809397	TNFRSF25
THYM	57449	0.64728	10.698	23.53	-1.13716021176551	0.789451573311368	PLEKHG5
THYM	79707	0.14079	13.56	17.547	-0.371867216438107	0.459142438983051	NOL9
THYM	80835	0.10339	1	1	0	0.387593882719657	TAS1R1
THYM	3104	0.83994	47.989	52.577	-0.131728074991081	0.903672866249161	ZBTB48
THYM	9903	0.74473	33.004	48.636	-0.559383695218743	0.848355770437459	KLHL21
THYM	148479	0.54613	19.926	24.087	-0.273602590570721	0.746790372397129	PHF13
THYM	90326	0.90065	37.594	37.077	0.0199779098971581	0.941508565141802	THAP3
THYM	55735	0.0082956	18.805	27.851	-0.566612822592486	0.0624474333333333	DNAJC11
THYM	23261	0.14039	14.482	11.471	0.33626969019654	0.45830403630811	CAMTA1
THYM	9341	0.5512	76.775	125.184	-0.705341668201634	0.748249046275395	VAMP3
THYM	8863	0.62458	6.757	9.31	-0.462398312664304	0.777192565312985	PER3
THYM	10911	0.012739	1	1.204	-0.267835392097615	0.0872281491103203	UTS2
THYM	3604	0.1287	1.175	3.281	-1.48147483706606	0.437270748587571	TNFRSF9
THYM	11315	0.071159	562.496	456.016	0.302758392747882	0.307886287159883	PARK7
THYM	54206	0.81927	28.334	58.921	-1.0562476299297	0.891720602409639	ERRFI1
THYM	102724539	0.20069	1	1	0	0.54455148696265	LINC01714
THYM	50651	0.73921	1	2.126	-1.08814159686902	0.845156551785608	SLC45A1
THYM	473	0.38119	31.427	63.354	-1.01143115007563	0.669265151017429	RERE
THYM	2023	0.53248	1003.239	944.618	0.0868624059136506	0.742440317345835	ENO1
THYM	102465436	0.015709	1	1	0	0.1026687734375	MIR6728
THYM	100505975	0.96022	1.13	1.412	-0.32141731596863	0.977751535774767	ENO1-AS1
THYM	765	0.3221	2.778	2.072	0.423022596294839	0.614822750173559	CA6
THYM	6518	0.012588	2.361	2.539	-0.104862353418863	0.0865948187343582	SLC2A5
THYM	80045	0.69036	4.429	6.822	-0.623213757728088	0.813946175245098	GPR157
THYM	106614088	0.56656	2.808	3.307	-0.235980109886554	0.752220601711289	MIR34AHG
THYM	102724571	0.0068817	5.711	2.388	1.25794054799154	0.0534777018174475	LNCTAM34A
THYM	9563	0.14095	25.575	49.447	-0.951148753887095	0.459586332824945	H6PD
THYM	80176	0.31514	20.852	33.273	-0.674166185033543	0.61229904733433	SPSB1
THYM	100506022	0.56713	1	1.924	-0.944108799107955	0.752354407749586	LINC02606
THYM	84275	0.52302	6.326	8.267	-0.386070330937368	0.73998085407946	SLC25A33
THYM	199953	0.70343	18.394	18.402	-0.000627326911021199	0.821928501244914	TMEM201
THYM	5293	0.25081	36.561	59.239	-0.69624175614713	0.603833234484484	PIK3CD
THYM	644997	0.1588	1	1	0	0.487729127730824	PIK3CD-AS1
THYM	101929074	0.12187	13.869	7.957	0.801567264300154	0.424800846014493	PIK3CD-AS2
THYM	22883	0.0018911	155.034	138.225	0.165566071244056	0.0182297871242485	CLSTN1
THYM	56998	0.57547	24.789	30.698	-0.308444592288967	0.755861715475459	CTNNBIP1
THYM	84328	0.45751	34.977	39.061	-0.159322330433265	0.728540090209385	LZIC
THYM	64802	0.9838	10.337	10.754	-0.057055828704649	0.99043737051376	NMNAT1
THYM	100847055	0.10358	1	1	0	0.387927009727626	MIR5697
THYM	116362	0.67637	29.537	69.357	-1.23151819432741	0.805174483078636	RBP7
THYM	10277	0.26751	25.418	38.218	-0.588401764874566	0.61229904733433	UBE4B
THYM	23095	0.71753	6.9	10.346	-0.584404829650861	0.831416968748118	KIF1B
THYM	5226	0.46075	130.183	171.491	-0.397591798582986	0.730615687324872	PGD
THYM	378708	0.26105	4.455	2.889	0.624855227844669	0.61229904733433	CENPS
THYM	1325	0.94806	1	1.157	-0.210388864445403	0.970195854696309	CORT
THYM	1676	0.60908	26.912	25.795	0.061158164215108	0.771159326182799	DFFA
THYM	5195	0.42071	47.051	44.112	0.0930542131861547	0.702253935108875	PEX14
THYM	54897	0.79661	2.751	3.678	-0.418965340095727	0.878069031278644	CASZ1
THYM	148345	0.0048632	1	1	0	0.0403190554071521	C1orf127
THYM	23435	0.83183	68.37	70.698	-0.0483059773921424	0.899192463483146	TARDBP
THYM	10747	0.21686	1.146	5.876	-2.35822735179938	0.566059153553988	MASP2
THYM	6723	0.60563	125.566	121.416	0.0484873228023949	0.769119320836908	SRM
THYM	5394	0.15846	44.814	55.522	-0.309110033208849	0.487647640951925	EXOSC10
THYM	105376736	6.3441e-05	1	1	0	0.000986000226978998	EXOSC10-AS1
THYM	2475	0.057758	18.576	29.854	-0.684484367190585	0.268305571704491	MTOR
THYM	100873935	0.31934	1	1	0	0.61229904733433	MTOR-AS1
THYM	10218	0.68588	1	1.784	-0.835115615258218	0.811303210202827	ANGPTL7
THYM	29914	0.32959	13.087	18.456	-0.495955490319388	0.621828219433278	UBIAD1
THYM	57540	0.30977	1	1.542	-0.624802765252947	0.61229904733433	DISP3
THYM	101929181	0.31934	1	1	0	0.61229904733433	LINC01647
THYM	26232	0.027389	90.898	59.578	0.609468857666993	0.157357942370857	FBXO2
THYM	93611	0.10481	38.168	33.588	0.184417698690234	0.39078388996513	FBXO44
THYM	26270	0.036149	21.392	19.6	0.12621771620342	0.193475078998609	FBXO6
THYM	10459	0.95126	144.605	163.839	-0.180161377764742	0.972281203718459	MAD2L2
THYM	57085	0.70674	55.427	60.066	-0.115959669560883	0.824094560329677	AGTRAP
THYM	4524	0.00014535	10.294	15.008	-0.543928045308842	0.00202657923913043	MTHFR
THYM	1185	0.31948	8.699	15.172	-0.802489807217997	0.612483760087676	CLCN6
THYM	4878	0.30266	1	1	0	0.61229904733433	NPPA
THYM	90231	0.97787	52.796	53.656	-0.0233108768006171	0.987415201784309	KIAA2013
THYM	5351	0.87293	38.294	63.842	-0.737387483287061	0.924154428673599	PLOD1
THYM	9927	0.36944	56.898	77.936	-0.453911946493637	0.658916855765666	MFN2
THYM	60672	0.62984	55.781	55.091	0.0179571475232699	0.779441178286596	MIIP
THYM	943	0.34704	1	3.368	-1.75189213840431	0.638392834608031	TNFRSF8
THYM	7133	0.30659	21.029	72.234	-1.7802978159956	0.61229904733433	TNFRSF1B
THYM	100616438	0.31934	1	1	0	0.61229904733433	MIR4632
THYM	55187	0.2919	6.796	15.073	-1.14920882946564	0.61229904733433	VPS13D
THYM	677885	2.0951e-06	1	2.007	-1.00504061670053	4.6874208255814e-05	SNORA59A
THYM	9249	0.59597	58.022	169.446	-1.54615364972558	0.764419623358443	DHRS3
THYM	102466722	0.56782	1	3.472	-1.79576694778239	0.752428831428178	MIR6730
THYM	343066	0.17642	1	1	0	0.512376938867925	AADACL4
THYM	390999	0.31934	1	1	0	0.61229904733433	PRAMEF12
THYM	441871	0.19783	1	1	0	0.540995882603752	PRAMEF7
THYM	649330	0.31934	1	1	0	0.61229904733433	HNRNPCL3
