Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
UCEC	102466751	0.78036	2.993	3.284	-0.133861848279704	0.806819485270755	MIR6859-1
UCEC	102465909	0.21187	1	1	0	0.266495933513722	MIR6859-2
UCEC	400728	0.014431	1	1	0	0.0263051630921895	FAM87B
UCEC	79854	0.33379	1.279	1	0.35501626421955	0.380153431	LINC00115
UCEC	284593	0.002966	1	1	0	0.00615072359796067	FAM41C
UCEC	100130417	0.21488	6.795	10.215	-0.588143747965836	0.269656583108369	LINC02593
UCEC	148398	0.063492	7.247	13.574	-0.905390118801974	0.0970097112959485	SAMD11
UCEC	26155	3.1225e-12	83.967	73.826	0.185693450159815	2.79796636506688e-11	NOC2L
UCEC	339451	1.3216e-07	10.679	4.495	1.24838353604324	5.59750925994794e-07	KLHL17
UCEC	84069	7.4684e-19	2.656	1	1.40925514668484	1.38983018954248e-17	PLEKHN1
UCEC	84808	2.5258e-07	1.055	1	0.0772429989324604	1.02626957545487e-06	PERM1
UCEC	57801	8.3332e-06	36.095	14.908	1.27571227983613	2.5991185759277e-05	HES4
UCEC	9636	1e-20	485.076	83.282	2.54213418120008	2.16315289648623e-19	ISG15
UCEC	375790	7.1513e-10	130.713	55.455	1.23701318146731	4.42882847743339e-09	AGRN
UCEC	401934	2.4426e-15	3.701	1	1.88791513563813	3.24985647196262e-14	RNF223
UCEC	54991	7.8452e-16	26.642	12.944	1.04141887590165	1.10307386172839e-14	C1orf159
UCEC	254099	0.66665	1	1	0	0.703821724217845	LINC01342
UCEC	406984	0.96918	1	1	0	0.9734837895758	MIR200B
UCEC	406983	0.27387	1.529	1	0.612588406698718	0.330846342808655	MIR200A
UCEC	554210	0.044729	10.102	10.282	-0.0254799703191242	0.0720688379429865	MIR429
UCEC	254173	0.96454	1.79	1	0.839959587489532	0.969477191774777	TTLL10
UCEC	8784	4.6346e-16	14.196	1.828	2.95714650400287	6.66457820707071e-15	TNFRSF18
UCEC	7293	3.0135e-05	7.793	4.778	0.705771962547135	8.59092653316646e-05	TNFRSF4
UCEC	51150	3.3405e-16	244.663	192.657	0.34476133557935	4.85887030651341e-15	SDF4
UCEC	126792	0.008788	34.272	31.967	0.100447027013081	0.0167508840167364	B3GALT6
UCEC	388581	7.2633e-06	2.496	1.322	0.916895757354557	2.29082591248962e-05	C1QTNF12
UCEC	118424	2.8972e-08	64.814	57.435	0.17437531190797	1.38175087102178e-07	UBE2J2
UCEC	6339	0.033327	3.649	6.549	-0.843773480127466	0.0556296648102008	SCNN1D
UCEC	116983	0.063291	19.856	25.915	-0.384212373141705	0.096761017383717	ACAP3
UCEC	102465434	0.06296	1	1	0	0.0963649294449671	MIR6726
UCEC	126789	2.2066e-20	24.44	13.509	0.855323401643091	4.63243638709677e-19	PUSL1
UCEC	54973	0.70969	140.879	137.112	0.0391017327819982	0.742345647501837	INTS11
UCEC	80772	7.7094e-11	49.95	41.923	0.252742718531152	5.56415441064639e-10	CPTP
UCEC	83756	5.1914e-06	1	1	0	1.67445071084679e-05	TAS1R3
UCEC	1855	0.012151	64.96	62.679	0.0515694697283812	0.0224965844103064	DVL1
UCEC	54587	2.4276e-08	41.864	231.693	-2.46843238841352	1.16879883322765e-07	MXRA8
UCEC	54998	1e-20	330.355	183.082	0.85152722317216	2.16315289648623e-19	AURKAIP1
UCEC	81669	0.5713	91.024	79.085	0.202842900521154	0.613303393345273	CCNL2
UCEC	148413	1.0028e-06	26.747	23.259	0.201588014110172	3.67563253419147e-06	MRPL20-AS1
UCEC	55052	6.8679e-09	191.661	158.959	0.269902099278072	3.61203015931655e-08	MRPL20
UCEC	441869	0.49718	22.647	25.737	-0.184523945304109	0.542451790966135	ANKRD65
UCEC	643965	0.032458	1	1	0	0.0543224337986774	TMEM88B
UCEC	64856	1.1172e-09	103.739	70.308	0.561197607019881	6.71086012658228e-09	VWA1
UCEC	219293	0.0083805	2.342	3.33	-0.50778110145741	0.0160331789853855	ATAD3C
UCEC	83858	2.9985e-06	16.519	9.451	0.805587461394562	1.00975507096393e-05	ATAD3B
UCEC	55210	1e-20	43.248	20.052	1.10888727775235	2.16315289648623e-19	ATAD3A
UCEC	339453	7.7743e-13	1.6	11.352	-2.82680268428583	7.64607104490501e-12	TMEM240
UCEC	29101	8.1292e-11	286.563	231.51	0.307777834368982	5.84491532828283e-10	SSU72
UCEC	643988	2.4497e-15	10.435	5.26	0.988295895867533	3.25740026853473e-14	FNDC10
UCEC	142678	0.0026725	32.476	43.997	-0.438031205046697	0.00559197179864046	MIB2
UCEC	8510	0.00074628	2.883	8.287	-1.52327908534186	0.00170949531375704	MMP23B
UCEC	984	0.0027673	27.844	31.457	-0.176014609901332	0.00577283262203498	CDK11B
UCEC	728661	0.00058719	17.672	23.561	-0.414935448996856	0.0013684278514426	SLC35E2B
UCEC	728642	0.00012387	2.117	1.455	0.541002116211943	0.000321869822039699	CDK11A
UCEC	9906	0.22189	9.273	11.354	-0.292092586695498	0.2771404518287	SLC35E2A
