Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
SARC	102466751	2.3304e-05	3.751	1.236	1.60159651975709	0.000182800547085202	MIR6859-1
SARC	102465909	3.4486e-14	1	1	0	8.25422606613455e-13	MIR6859-2
SARC	400728	1.5574e-06	1	1	0	1.50374348666053e-05	FAM87B
SARC	79854	3.5627e-07	1.303	1	0.381837083906047	3.75236506271952e-06	LINC00115
SARC	284593	0.31825	1	1	0	0.512669454378022	FAM41C
SARC	100130417	0.2363	1.052	6.317	-2.5861048675881	0.457918509970458	LINC02593
SARC	148398	0.13959	1.887	6.46	-1.77543974198084	0.330193113590264	SAMD11
SARC	26155	3.9004e-13	76.568	53.51	0.516933044841844	8.42317864197531e-12	NOC2L
SARC	339451	7.4601e-10	6.672	3.147	1.08414211014624	1.12739351403888e-08	KLHL17
SARC	84069	5.2769e-06	1	1	0	4.67175908477436e-05	PLEKHN1
SARC	84808	0.58727	1	1.249	-0.32077347694587	0.730944830714497	PERM1
SARC	57801	0.089195	19.896	10.401	0.935756170292917	0.245335062893082	HES4
SARC	9636	2.3519e-06	231.52	95.159	1.28272481091598	2.20396129017857e-05	ISG15
SARC	375790	0.90953	34.44	53.742	-0.641964869282333	0.944989802019402	AGRN
SARC	401934	0.14905	1	1	0	0.345484601369258	RNF223
SARC	54991	4.0424e-06	12.244	6.898	0.827824916066138	3.64336704164878e-05	C1orf159
SARC	254099	0.31825	1	1	0	0.512669454378022	LINC01342
SARC	406984	0.18573	1	1	0	0.392416550578762	MIR200B
SARC	406983	0.53127	1	1.892	-0.919912088677308	0.699151955009712	MIR200A
SARC	554210	0.55293	1	2.311	-1.20851725980554	0.710001412318796	MIR429
SARC	254173	0.016592	1	1	0	0.0655899570621469	TTLL10
SARC	8784	1.5283e-12	2.656	1.166	1.18768735814643	3.12675880116959e-11	TNFRSF18
SARC	7293	0.0059393	16.486	4.896	1.75156593683354	0.0272090454604976	TNFRSF4
SARC	51150	0.39431	252.546	208.76	0.274700884466947	0.599562565012676	SDF4
SARC	126792	1e-20	34.498	21.554	0.678557094884008	4.43784355179704e-19	B3GALT6
SARC	388581	0.95923	1.622	7.388	-2.18741004676516	0.976251972363636	C1QTNF12
SARC	118424	0.00030259	59.418	49.91	0.251571141275994	0.00190055855475763	UBE2J2
SARC	6339	0.00061484	4.348	2.022	1.10456894312429	0.00362531079775281	SCNN1D
SARC	116983	0.20731	41.438	24.906	0.734461035429844	0.42093675856065	ACAP3
SARC	102465434	0.31825	1	1	0	0.512669454378022	MIR6726
SARC	126789	3.1678e-16	16.449	10.044	0.711665945746455	9.2740989958159e-15	PUSL1
SARC	54973	0.14581	102.986	76.446	0.429935309255998	0.340569456993435	INTS11
SARC	80772	0.65173	40.586	37.207	0.125408089901746	0.773793797511312	CPTP
SARC	83756	0.00066879	1	1	0	0.00392248418273261	TAS1R3
SARC	1855	0.32938	53.319	44.272	0.268255173816312	0.525884494638375	DVL1
SARC	54587	0.032237	277.089	107.844	1.3614035261517	0.112964585378067	MXRA8
SARC	54998	0.52463	239.681	312.448	-0.382500557192587	0.696268710819009	AURKAIP1
SARC	81669	0.00022767	65.638	26.677	1.29893484506024	0.00146866040872772	CCNL2
SARC	148413	0.16292	26.613	19.219	0.469597878031247	0.363775526007872	MRPL20-AS1
SARC	55052	0.35855	164.695	204.257	-0.310588764436824	0.559702762697999	MRPL20
SARC	441869	0.56102	8.213	35.306	-2.10393217675783	0.714991203788017	ANKRD65
SARC	643965	0.005469	1	1	0	0.0253006525446134	TMEM88B
SARC	64856	0.50773	38.255	265.322	-2.79402407789911	0.692221873904292	VWA1
SARC	219293	0.4392	1	3.225	-1.68929916053589	0.647509987357775	ATAD3C
SARC	83858	1.5953e-07	12.141	4.806	1.33697870126071	1.75692247114376e-06	ATAD3B
SARC	55210	0.015713	31.91	17.084	0.901362805524533	0.0625866381404175	ATAD3A
SARC	339453	0.65286	6.961	5.412	0.363132735640147	0.774422709086799	TMEM240
SARC	29101	0.91884	231.386	245.41	-0.0848924604474825	0.950866221652534	SSU72
SARC	643988	2.6773e-12	10.781	7.649	0.495147949588421	5.32693879620853e-11	FNDC10
SARC	142678	0.35127	36.468	28.349	0.363333235137991	0.551775545495361	MIB2
SARC	8510	0.75095	4.805	27.834	-2.53423991590988	0.842050825320513	MMP23B
SARC	984	0.69822	30.374	27.632	0.136496923824064	0.804497531013283	CDK11B
SARC	728661	0.41218	13.605	9.271	0.553340090484858	0.61933216750179	SLC35E2B
SARC	728642	0.69731	1.069	1.662	-0.636658529049854	0.803890279547452	CDK11A
SARC	9906	0.037323	7.564	5.776	0.389078621062591	0.12630132081251	SLC35E2A
SARC	65220	0.16081	44.719	28.438	0.653067921155489	0.360714117332763	NADK
SARC	2782	0.11708	361.839	281.272	0.363381971240506	0.293588135228766	GNB1
SARC	163688	7.169e-07	1	1	0	7.25576080038573e-06	CALML6
SARC	339456	0.98912	1	2.429	-1.28036248997378	0.993949826224329	TMEM52
SARC	85452	0.1928	1	1	0	0.40195576266137	CFAP74
SARC	2563	1e-20	3.174	1	1.66630212817309	4.43784355179704e-19	GABRD
SARC	5590	0.61241	1.108	12.645	-3.51253725050141	0.746911760502004	PRKCZ
SARC	100506504	0.38238	2.873	2.61	0.138508186075277	0.585835966717758	PRKCZ-AS1
SARC	199990	0.00053281	57.394	50.344	0.189080076636376	0.00318547841355739	FAAP20
SARC	6497	0.14525	49.453	30.209	0.711079615071628	0.339904431438127	SKI
SARC	79906	0.75028	4.831	6.672	-0.465797436012586	0.841748859081922	MORN1
SARC	11079	0.51663	75.588	61.906	0.288077973195068	0.693543284307456	RER1
SARC	5192	0.79027	10.969	10.185	0.106986026676934	0.867783928123038	PEX10
SARC	9651	0.76376	1	6.648	-2.73292038210826	0.850440588796945	PLCH2
SARC	55229	0.38504	26.609	23.929	0.153154185584834	0.588708182679001	PANK4
SARC	388585	0.0050447	1	1	0	0.0236474537070121	HES5
SARC	8764	0.63924	66.936	67.45	-0.0110361029735238	0.765447053051911	TNFRSF14
SARC	100996583	3.7917e-11	1	1	0	6.71658858227848e-10	AL139246.3
SARC	127281	0.75984	20.479	23.126	-0.175370481568427	0.84821322271857	PRXL2B
SARC	79258	0.0067473	1	1	0	0.0304455232803095	MMEL1
SARC	100287898	1.7048e-05	1	1	0	0.000138007932124952	TTC34
SARC	440556	0.53963	1	17.816	-4.1551015581257	0.70303955623138	PRDM16-DT
SARC	63976	0.93399	1	3.03	-1.59931779369823	0.959824933418192	PRDM16
SARC	27237	0.54619	1	14.826	-3.89005751138785	0.706586607296931	ARHGEF16
SARC	1953	3.7976e-09	4.999	3.261	0.616325085935057	5.20675516655781e-08	MEGF6
SARC	693135	0.16392	1	1	0	0.364573502860776	MIR551A
SARC	127262	0.26181	76.294	149.483	-0.970339914256143	0.487574345396487	TPRG1L
